year,county,status,raw_precinct_key,count,suggested_candidate_1,suggested_score,suggested_reason,local_candidate_1,local_candidate_2,local_candidate_3,local_candidate_4,local_candidate_5,approval,approved_canonical_precinct_key,source_reference,notes
2016,WAKE,unmatched,WAKE - OSLOB 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSNB 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSNR 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSOP 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSTC 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSWA 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSWD 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - OSZB 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - PROVI 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
2016,WAKE,unmatched,WAKE - TRANS 81-91,12,,0.0000,none,WAKE - 20-17,WAKE - 20-16,WAKE - 20-15,WAKE - 20-14,WAKE - 20-12,,,,
