crosswalk_type,county,precincts,districts_all_weights,districts_weight_ge_0_10,districts_weight_ge_0_50,split_precincts,split_precinct_pct
state_senate,MOORE,26,1,1,1,0,0.0
state_senate,NASH,24,1,1,1,0,0.0
state_senate,NEW HANOVER,41,2,2,2,1,2.44
state_senate,NORTHAMPTON,13,1,1,1,0,0.0
state_senate,ONSLOW,24,1,1,1,0,0.0
state_senate,ORANGE,40,1,1,1,0,0.0
state_senate,PAMLICO,6,1,1,1,0,0.0
state_senate,PASQUOTANK,9,1,1,1,0,0.0
state_senate,PENDER,18,1,1,1,0,0.0
state_senate,PERQUIMANS,7,1,1,1,0,0.0
state_senate,PERSON,11,1,1,1,0,0.0
state_senate,PITT,40,1,1,1,0,0.0
state_senate,POLK,7,1,1,1,0,0.0
state_senate,RANDOLPH,22,3,2,2,1,4.55
state_senate,RICHMOND,16,1,1,1,0,0.0
state_senate,ROBESON,39,1,1,1,0,0.0
state_senate,ROCKINGHAM,15,1,1,1,0,0.0
state_senate,ROWAN,41,1,1,1,0,0.0
state_senate,RUTHERFORD,17,1,1,1,0,0.0
state_senate,SAMPSON,23,2,2,2,0,0.0
state_senate,SCOTLAND,7,1,1,1,0,0.0
state_senate,STANLY,22,1,1,1,0,0.0
state_senate,STOKES,18,1,1,1,0,0.0
state_senate,SURRY,23,1,1,1,0,0.0
state_senate,SWAIN,5,1,1,1,0,0.0
state_senate,TRANSYLVANIA,15,1,1,1,0,0.0
state_senate,TYRRELL,6,1,1,1,0,0.0
state_senate,UNION,54,2,2,2,0,0.0
state_senate,VANCE,12,1,1,1,0,0.0
state_senate,WAKE,210,6,6,6,6,2.86
state_senate,WARREN,14,1,1,1,0,0.0
state_senate,WASHINGTON,6,1,1,1,0,0.0
state_senate,WATAUGA,20,1,1,1,0,0.0
state_senate,WAYNE,28,1,1,1,0,0.0
state_senate,WILKES,25,1,1,1,0,0.0
state_senate,WILSON,24,1,1,1,0,0.0
state_senate,YADKIN,12,1,1,1,0,0.0
state_senate,YANCEY,11,1,1,1,0,0.0
cd118,ALAMANCE,39,1,1,1,0,0.0
cd118,ALEXANDER,10,1,1,1,0,0.0
cd118,ALLEGHANY,4,1,1,1,0,0.0
cd118,ANSON,9,1,1,1,0,0.0
cd118,ASHE,17,1,1,1,0,0.0
cd118,AVERY,19,1,1,1,0,0.0
cd118,BEAUFORT,21,1,1,1,0,0.0
cd118,BERTIE,12,1,1,1,0,0.0
cd118,BLADEN,17,1,1,1,0,0.0
cd118,BRUNSWICK,27,1,1,1,0,0.0
cd118,BUNCOMBE,80,1,1,1,0,0.0
cd118,BURKE,31,1,1,1,0,0.0
cd118,CABARRUS,39,2,2,2,1,2.56
cd118,CALDWELL,15,2,2,2,1,6.67
cd118,CAMDEN,3,1,1,1,0,0.0
cd118,CARTERET,26,1,1,1,0,0.0
cd118,CASWELL,9,2,2,1,1,11.11
cd118,CATAWBA,40,1,1,1,0,0.0
cd118,CHATHAM,18,1,1,1,0,0.0
cd118,CHEROKEE,16,1,1,1,0,0.0
cd118,CHOWAN,6,1,1,1,0,0.0
cd118,CLAY,9,1,1,1,0,0.0
cd118,CLEVELAND,21,1,1,1,0,0.0
cd118,COLUMBUS,21,1,1,1,0,0.0
cd118,CRAVEN,21,1,1,1,0,0.0
cd118,CUMBERLAND,77,2,2,2,2,2.6
cd118,CURRITUCK,11,1,1,1,0,0.0
cd118,DARE,16,1,1,1,0,0.0
cd118,DAVIDSON,43,1,1,1,0,0.0
cd118,DAVIE,14,1,1,1,0,0.0
cd118,DUPLIN,19,1,1,1,0,0.0
cd118,DURHAM,60,1,1,1,0,0.0
cd118,EDGECOMBE,21,1,1,1,0,0.0
cd118,FORSYTH,108,2,2,2,1,0.93
cd118,FRANKLIN,18,1,1,1,0,0.0
cd118,GASTON,46,2,2,2,2,4.35
cd118,GATES,6,1,1,1,0,0.0
