file,year,scope,contest_type,district,agg_dem,agg_rep,snap_dem,snap_rep,agg_margin_pct,snap_margin_pct,delta_margin_pp,in_agg_only,in_snap_only,snapshot_untrusted
state_house_president_2020.json,2020,state_house,president,87,11405,32737,11405,32737,47.77,47.77,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,88,30032,11800,30032,11800,-42.69,-42.69,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,89,11751,35214,11750,35214,49.34,49.34,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,90,10567,35545,10276,34568,53.61,53.61,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,91,14133,33619,15886,37789,40.33,40.33,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,92,29915,12808,29915,12808,-39.35,-39.35,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,93,21797,29649,21782,29629,15.01,15.01,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,94,9847,35401,10130,36419,55.9,55.9,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,95,17266,31258,17289,31169,28.37,28.18,0.19000000000000128,False,False,False
state_house_president_2020.json,2020,state_house,president,96,16196,27890,16196,27891,26.13,26.13,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,97,13272,36342,13272,36342,45.94,45.94,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,98,24348,23109,24348,23109,-2.57,-2.57,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,99,28047,5161,28047,5161,-67.76,-67.76,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,100,25833,8126,25833,8126,-51.24,-51.24,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,101,32355,9896,32355,9895,-52.27,-52.27,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,102,36018,8902,36018,8901,-59.22,-59.22,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,103,25926,21905,25926,21906,-8.26,-8.26,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,104,27097,18962,27097,18962,-17.34,-17.34,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,105,25924,18276,25924,18275,-17.02,-17.02,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,106,32043,13287,32042,13287,-40.74,-40.74,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,107,37118,7550,37117,7550,-65.13,-65.13,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,108,13892,28128,13892,28128,33.43,33.43,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,109,19000,27345,19001,27346,17.74,17.74,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,110,13740,29857,13740,29856,36.62,36.62,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,111,13584,32016,14662,34558,39.96,39.96,0.0,False,False,False
state_house_president_2020.json,2020,state_house,president,112,26466,16425,26466,16424,-23.03,-23.03,0.0,False,False,False
