block_geoid00,county_fips_2000,place_fips_2000,cd106_2000,sldu_2000,sldl_2000,vtd_code_2000,vap_count_2000
370010202004036,001,27280,05,21,25,06N,0
370010203001000,001,99999,05,21,25,063,94
370010203001001,001,99999,05,21,25,12N,2
370010203001002,001,99999,05,21,25,12N,51
370010203001003,001,99999,05,21,25,12N,19
370010203001004,001,99999,05,21,25,12N,107
370010203001005,001,99999,05,21,25,12N,3
370010203001006,001,09060,05,21,25,12N,48
370010203001007,001,09060,05,21,25,12N,45
370010203001008,001,09060,05,21,25,12N,33
370010203001009,001,09060,05,21,25,12N,87
370010203001010,001,99999,05,21,25,12N,0
370010203001011,001,99999,05,21,25,063,13
370010203001012,001,09060,05,21,25,063,110
370010203001013,001,09060,05,21,25,063,31
370010203001014,001,09060,05,21,25,063,0
370010203001015,001,99999,05,21,25,063,3
370010203001999,001,99999,05,21,25,063,0
370010203002000,001,09060,05,21,25,12N,125
370010203002001,001,09060,05,21,25,12N,12
370010203002002,001,09060,05,21,25,12N,46
370010203002003,001,09060,05,21,25,12N,28
370010203002004,001,09060,05,21,25,12N,55
370010203002005,001,09060,05,21,25,12N,8
370010203002006,001,09060,05,21,25,12N,464
370010203002007,001,99999,05,21,25,12N,6
370010203002008,001,09060,05,21,25,12N,52
370010203002009,001,09060,05,21,25,12N,14
370010203002010,001,09060,05,21,25,12N,20
370010203002011,001,09060,05,21,25,12N,30
370010203002012,001,09060,05,21,25,12N,35
370010203002013,001,09060,05,21,25,12N,20
370010203002014,001,09060,05,21,25,12N,26
370010203002015,001,09060,05,21,25,12N,0
370010203002016,001,09060,05,21,25,12N,32
370010203002017,001,09060,05,21,25,12N,21
370010203002018,001,09060,05,21,25,12N,0
370010203002019,001,09060,05,21,25,12N,18
370010203002020,001,09060,05,21,25,12N,4
370010203002021,001,09060,05,21,25,12N,0
370010203002022,001,09060,05,21,25,12N,7
370010203002023,001,09060,05,21,25,12N,0
370010203002024,001,09060,05,21,25,12N,0
370010203003000,001,09060,05,21,25,063,13
370010203003001,001,09060,05,21,25,063,27
370010203003002,001,09060,05,21,25,063,28
370010203003003,001,09060,05,21,25,063,38
370010203003004,001,09060,05,21,25,063,27
370010203003005,001,09060,05,21,25,063,32
370010203003006,001,09060,05,21,25,063,164
370010203003007,001,09060,05,21,25,063,216
370010203003008,001,09060,05,21,25,063,32
370010203003009,001,09060,05,21,25,063,6
370010203003010,001,09060,05,21,25,063,152
370010203003011,001,09060,05,21,25,063,108
370010203003012,001,09060,05,21,25,063,30
370010203003013,001,09060,05,21,25,063,28
370010203003014,001,09060,05,21,25,063,23
370010203003015,001,09060,05,21,25,063,11
370010203003016,001,09060,05,21,25,063,321
370010203003017,001,09060,05,21,25,063,56
370010203003018,001,09060,05,21,25,063,23
370010203003019,001,09060,05,21,25,063,31
370010203003020,001,09060,05,21,25,063,21
370010203003021,001,09060,05,21,25,063,97
