year,status,precinct_key,count
2002,unmatched,CUMBERLAND - CC19 CROSS CREEK #19,1
2002,unmatched,CUMBERLAND - CC20 CROSS CREEK #20,1
2002,unmatched,CUMBERLAND - CC28 CROSS CREEK #28,1
2002,unmatched,CUMBERLAND - CC30 CROSS CREEK #30,1
2002,unmatched,CUMBERLAND - CC56 CEDAR CREEK,1
2002,unmatched,CUMBERLAND - CU01 CUMBERLAND #1,1
2002,unmatched,CUMBERLAND - CU03 CUMBERLAND #3,1
2002,unmatched,CUMBERLAND - EO61 EASTOVER,1
2002,unmatched,CUMBERLAND - HM01 HOPE MILLS #1,1
2002,unmatched,CUMBERLAND - HM02 HOPE MILLS #2,1
2002,unmatched,CUMBERLAND - HM03 HOPE MILLS #3,1
2002,unmatched,CUMBERLAND - JV64 JUDSON-VANDER,1
2002,unmatched,CUMBERLAND - MA67 MANCHESTER,1
2002,unmatched,CUMBERLAND - PM02 PEARCES MILL #2,1
2002,unmatched,CUMBERLAND - PM03 PEARCES MILL #3,1
2002,unmatched,CUMBERLAND - PM04 PEARCES MILL #4,1
2002,unmatched,CUMBERLAND - SP80 STONEY POINT,1
2002,unmatched,CUMBERLAND - ST79 STEDMAN,1
2002,unmatched,CUMBERLAND - WA81 WADE,1
2002,unmatched,CUMBERLAND - WE82 WESTAREA,1
2002,unmatched,CURRITUCK - CI CHURCHS ISLAND,1
2002,unmatched,CURRITUCK - CJ COINJOCK,1
2002,unmatched,CURRITUCK - MY MOYOCK,1
2002,unmatched,DAVIDSON - 80 WALLBURG #80,1
2002,unmatched,DUPLIN - CCRK CYPRESS CREEK,1
2002,unmatched,DURHAM - 39 ST. STEPHENS EPIS. CH-PARRISH HALL,1
2002,unmatched,FORSYTH - 011 GLENN HIGH SCHOOL,1
2002,unmatched,FORSYTH - 072 SOUTHWEST ELEM SCHOOL,1
2002,unmatched,FORSYTH - 082 EAST FORSYTH HIGH SCHOOL,1
2002,unmatched,FORSYTH - 122 GRIFFITH FIRE STATION,1
2002,unmatched,FORSYTH - 201 BROWN DOUGLAS RECREATION,1
2002,unmatched,FORSYTH - 507 SEDGE GARDEN RECREATION,1
2002,unmatched,GRANVILLE - ANTI ANTIOCH,1
2002,unmatched,GRANVILLE - BERE BEREA,1
2002,unmatched,GRANVILLE - BRAS BRASSFIELD,1
2002,unmatched,GRANVILLE - BTNR BUTNER,1
2002,unmatched,GRANVILLE - CORI CORINTH,1
2002,unmatched,GRANVILLE - CRDL CREDLE,1
2002,unmatched,GRANVILLE - CRDM CREEDMOOR,1
2002,unmatched,GRANVILLE - EAOX EAST OXFORD,1
2002,unmatched,GRANVILLE - OKHL OAK HILL,1
2002,unmatched,GRANVILLE - SALM SALEM,1
2002,unmatched,GRANVILLE - SASS SASSAFRAS FORK,1
2002,unmatched,GRANVILLE - SOOX SOUTH OXFORD,1
2002,unmatched,GRANVILLE - TYHO TALLY HO,1
2002,unmatched,GRANVILLE - WOEL WEST OXFORD ELEM.,1
2002,unmatched,GREENE - BEAR BEAR GARDEN,1
2002,unmatched,GUILFORD - CG3 CG3,1
2002,unmatched,GUILFORD - FR5-1 FR5-1,1
2002,unmatched,GUILFORD - FR5-2 FR5-2,1
2002,unmatched,GUILFORD - G40A G40A,1
2002,unmatched,GUILFORD - G41-1 G41-1,1
2002,unmatched,GUILFORD - G41-2 G41-2,1
2002,unmatched,GUILFORD - G42-1 G42-1,1
2002,unmatched,GUILFORD - G42-2 G42-2,1
2002,unmatched,GUILFORD - H29 H29,1
2002,unmatched,GUILFORD - MON2 MON2,1
2002,unmatched,GUILFORD - NCGR NCGR,1
2002,unmatched,HALIFAX - ENF 3 ENFIELD 3,1
2002,unmatched,HALIFAX - HOB HOBGOOD,1
2002,unmatched,HALIFAX - LIT 1 LITTLETON 1,1
2002,unmatched,HALIFAX - LIT 2 LITTLETON 2,1
2002,unmatched,HALIFAX - PAL PALMYRA,1
2002,unmatched,HALIFAX - ROSEN ROSENEATH,1
2002,unmatched,HALIFAX - RR 1 ROANOKE RAPIDS 1,1
2002,unmatched,HALIFAX - RR 2 ROANOKE RAPIDS 2,1
2002,unmatched,HALIFAX - RR 3 ROANOKE RAPIDS 3,1
2002,unmatched,HALIFAX - RR 4 ROANOKE RAPIDS 4,1
2002,unmatched,HALIFAX - RR 5 ROANOKE RAPIDS 5,1
2002,unmatched,HALIFAX - RR 6 ROANOKE RAPIDS 6,1
2002,unmatched,HALIFAX - RR 7 ROANOKE RAPIDS 7,1
2002,unmatched,HALIFAX - RR 8 ROANOKE RAPIDS 8,1
2002,unmatched,HALIFAX - RR 9 ROANOKE RAPIDS 9,1
2002,unmatched,HALIFAX - SN 1 SCOTLAND NECK 1,1
2002,unmatched,HALIFAX - SN 2 SCOTLAND NECK 2,1
2002,unmatched,HALIFAX - WEL 1 WELDON 1,1
2002,unmatched,HALIFAX - WEL 2 WELDON 2,1
2002,unmatched,HARNETT - PR02 AVERASBORO # 1,1
2002,unmatched,HARNETT - PR03 AVERASBORO # 2,1
2002,unmatched,HARNETT - PR04 AVERASBORO # 3,1
2002,unmatched,HARNETT - PR05 AVERASBORO # 4,1
2002,unmatched,HARNETT - PR06 AVERASBORO # 5,1
2002,unmatched,HARNETT - PR09 BUCKHORN,1
2002,unmatched,HARNETT - PR10 DUKE # 1,1
2002,unmatched,HARNETT - PR11 DUKE # 2,1
2002,unmatched,HARNETT - PR12 DUKE # 3,1
2002,unmatched,HARNETT - PR13 GROVE # 1,1
2002,unmatched,HARNETT - PR14 GROVE # 2,1
2002,unmatched,HARNETT - PR15 HECTORS CREEK,1
2002,unmatched,HARNETT - PR17 LILLINGTON,1
2002,unmatched,HARNETT - PR18 NEILS CREEK # 1,1
2002,unmatched,HARNETT - PR19 NEILS CREEK # 2,1
2002,unmatched,HARNETT - PR21 U.L.R. # 1,1
2002,unmatched,HARNETT - PR22 U.L.R. # 2,1
2002,unmatched,HENDERSON - CV CAROLINA VILLAGE,1
2002,unmatched,IREDELL - CH1 CHAMBERSBURG,1
2002,unmatched,IREDELL - DV1 DAVIDSON #1,1
2002,unmatched,IREDELL - SH1 SHILOH,1
2002,unmatched,JACKSON - DIL DILLSBORO,1
2002,unmatched,JACKSON - HAM HAMBURG,1
2002,unmatched,JACKSON - MNT MOUNTAIN,1
2002,unmatched,JACKSON - SC1 SCOTTS CREEK 1,1
2002,unmatched,JACKSON - SC2 SCOTTS CREEK 2,1
2002,unmatched,JACKSON - SC3 SCOTTS CREEK 3,1
2002,unmatched,JACKSON - SNW SYLVA-NORTH WD,1
2002,unmatched,JACKSON - SSW SYLVA-SOUTH WD,1
2002,unmatched,JOHNSTON - PR01 NORTH BANNER,1
2002,unmatched,JOHNSTON - PR02 SOUTH BANNER,1
2002,unmatched,JOHNSTON - PR03 WEST BANNER,1
2002,unmatched,JOHNSTON - PR05 NORTH BEULAH,1
2002,unmatched,JOHNSTON - PR06 SOUTH BEULAH,1
2002,unmatched,JOHNSTON - PR10 NORTH CLAYTON,1
2002,unmatched,JOHNSTON - PR11 WEST CLAYTON,1
2002,unmatched,JOHNSTON - PR12 NORTH CLEVELAND,1
2002,unmatched,JOHNSTON - PR15 EAST INGRAMS,1
2002,unmatched,JOHNSTON - PR16 WEST INGRAMS,1
2002,unmatched,JOHNSTON - PR17 NORTH MEADOW,1
2002,unmatched,JOHNSTON - PR18 SOUTH MEADOW,1
2002,unmatched,JOHNSTON - PR23 NORTH PLEASANT GROVE,1
2002,unmatched,JOHNSTON - PR27 NORTH SMITHFIELD,1
2002,unmatched,JOHNSTON - PR29 SOUTH WILDERS,1
2002,unmatched,JOHNSTON - PR31 SOUTH CLEVELAND,1
2002,unmatched,LEE - 01 WEST SANFORD #1,1
2002,unmatched,LEE - 02 WEST SANFORD #2,1
2002,unmatched,LEE - 03 WEST SANFORD #3,1
2002,unmatched,LEE - 04 EAST SANFORD,1
2002,unmatched,LEE - 05 WEST JONESBORO,1
2002,unmatched,LEE - 06 CAPE FEAR,1
2002,unmatched,LEE - 07 GREENWOOD,1
2002,unmatched,LEE - 08 EAST JONESBORO,1
2002,unmatched,LEE - 09 EAST POCKET,1
