modern_precinct,sbe2006_precinct,dominant_share_blocks,sbe2006_parts,modern_block_count,block_count
CARTERET - WIHA,CARTERET - WIREGRASS,50.0,3,86,43
CARTERET - WILD,CARTERET - WILDWOOD,99.48,2,193,192
CASWELL - ANDE,CASWELL - ANDERSON,75.0,4,44,33
CASWELL - LEAS,CASWELL - LEASBURG,100.0,1,28,28
CASWELL - LOCU,CASWELL - LOCUST HILL,100.0,1,39,39
CASWELL - MILT,CASWELL - MILTON,100.0,1,115,115
CASWELL - PELH,CASWELL - PELHAM,100.0,1,97,97
CASWELL - PH,CASWELL - PROSPECT HILL,56.47,3,85,48
CASWELL - PROVI,CASWELL - PROVIDENCE,95.45,2,22,21
CASWELL - STON,CASWELL - STONEY CREEK,85.71,3,63,54
CASWELL - YANC,CASWELL - YANCEYVILLE 2 & 4,100.0,1,127,127
CATAWBA - 01,CATAWBA - BALLS CREEK,95.79,2,95,91
CATAWBA - 02,CATAWBA - BANOAK,72.0,4,100,72
CATAWBA - 03,CATAWBA - BLACKBURN,93.33,4,120,112
CATAWBA - 04,CATAWBA - BROOKFORD,99.04,2,104,103
CATAWBA - 05,CATAWBA - CATAWBA,99.41,2,170,169
CATAWBA - 06,CATAWBA - CLAREMONT,97.85,2,186,182
CATAWBA - 07,CATAWBA - CONOVER WEST,98.04,4,204,200
CATAWBA - 08,CATAWBA - CONOVER EAST,100.0,1,167,167
CATAWBA - 09,CATAWBA - MAIDEN EAST,84.09,5,88,74
CATAWBA - 10,CATAWBA - NEWTON EAST,100.0,1,51,51
CATAWBA - 11,CATAWBA - COLLEGE PARK,92.98,3,57,53
CATAWBA - 12,CATAWBA - KENWORTH,100.0,1,84,84
CATAWBA - 13,CATAWBA - GREENMONT,100.0,1,133,133
CATAWBA - 14,CATAWBA - OAKWOOD,98.9,2,91,90
CATAWBA - 15,CATAWBA - RIDGEVIEW,100.0,1,37,37
CATAWBA - 16,CATAWBA - HIGHLAND,98.89,2,90,89
CATAWBA - 17,CATAWBA - LONGVIEW NORTH,94.7,3,132,125
CATAWBA - 19,CATAWBA - LONGVIEW SOUTH,88.33,4,120,106
CATAWBA - 20,CATAWBA - MAIDEN,96.94,3,229,222
CATAWBA - 21,CATAWBA - MONOGRAM,98.88,2,89,88
CATAWBA - 22,CATAWBA - MOUNT OLIVE,100.0,1,158,158
CATAWBA - 23,CATAWBA - MOUNTAIN VIEW 1,100.0,1,93,93
CATAWBA - 24,CATAWBA - MOUNTAIN VIEW 2,96.52,3,115,111
CATAWBA - 25,CATAWBA - NEWTON NORTH,96.4,4,111,107
CATAWBA - 26,CATAWBA - OAKLAND HEIGHTS,70.69,3,58,41
CATAWBA - 27,CATAWBA - OXFORD,98.25,2,114,112
CATAWBA - 28,CATAWBA - ST STEPHENS 1,97.56,2,123,120
CATAWBA - 29,CATAWBA - ST STEPHENS 2,59.86,2,147,88
CATAWBA - 30,CATAWBA - SANDY RIDGE,100.0,1,103,103
CATAWBA - 31,CATAWBA - SHERRILLS FORD,96.95,4,197,191
CATAWBA - 32,CATAWBA - NEWTON SOUTH,100.0,1,155,155
CATAWBA - 33,CATAWBA - SPRINGS,98.35,2,121,119
CATAWBA - 34,CATAWBA - STARTOWN,91.83,6,208,191
CATAWBA - 35,CATAWBA - SWEETWATER,83.52,6,273,228
CATAWBA - 36,CATAWBA - VIEWMONT 1,93.75,3,64,60
CATAWBA - 37,CATAWBA - VIEWMONT 2,100.0,1,64,64
CATAWBA - 38,CATAWBA - FALLING CREEK,100.0,1,46,46
CATAWBA - 39,CATAWBA - NORTHWEST,100.0,1,47,47
CATAWBA - 40,CATAWBA - NEWTON WEST,100.0,1,65,65
CATAWBA - 41,CATAWBA - LAKE NORMAN,81.53,3,157,128
CHATHAM - 15,CHATHAM - BYNUM,100.0,1,71,71
CHATHAM - 21,CHATHAM - HADLEY,98.44,2,64,63
CHATHAM - 3,CHATHAM - ALBRIGHT,100.0,1,170,170
CHATHAM - 30,CHATHAM - HICKORY MOUNTAIN,100.0,1,140,140
CHATHAM - 42,CHATHAM - NEW HOPE,98.17,2,109,107
CHATHAM - 75,CHATHAM - WILLIAMS EAST,97.58,2,124,121
CHATHAM - 78,CHATHAM - WILLIAMS WEST,97.2,2,107,104
CHATHAM - 85,CHATHAM - SILER CITY WEST,100.0,1,162,162
CHATHAM - 9,CHATHAM - BONLEE,99.23,2,130,129
CHATHAM - CRD118,CHATHAM - BENNETT,55.3,3,132,73
CHATHAM - ECL109,CHATHAM - MANNS CHAPEL,99.35,2,153,152
CHATHAM - EPP112,CHATHAM - PITTSBORO,96.69,2,151,146
CHATHAM - ESC114,CHATHAM - EAST SILER CITY,99.08,2,325,322
CHATHAM - GLD118,CHATHAM - GOLDSTON,79.2,3,274,217
CHATHAM - MON113,CHATHAM - THREE RIVERS,80.0,5,190,152
CHATHAM - NWM117,CHATHAM - NORTH WILLIAMS,97.06,3,102,99
CHATHAM - WCL108,CHATHAM - MANNS CHAPEL,98.91,2,92,91
CHATHAM - WPP114,CHATHAM - PITTSBORO,100.0,1,149,149
CHEROKEE - ANNW,CHEROKEE - ANDREWS NORTH WARD,99.32,2,146,145
CHEROKEE - ANSW,CHEROKEE - ANDREWS SOUTH WARD,93.75,2,80,75
CHEROKEE - BELL,CHEROKEE - BELLVIEW,97.83,2,46,45
CHEROKEE - BRAS,CHEROKEE - BRASSTOWN & MURPHY SOUTH,97.37,2,38,37
CHEROKEE - CSON,CHEROKEE - NOTLA,100.0,1,55,55
CHEROKEE - GCRK,CHEROKEE - BEAVERDAM,100.0,1,54,54
CHEROKEE - HANG,CHEROKEE - HANGING DOG & MURPHY NORTH,100.0,1,62,62
CHEROKEE - HIWA,CHEROKEE - HIWASSEE DAM,100.0,1,153,153
CHEROKEE - HOTH,CHEROKEE - HOT HOUSE,99.03,2,103,102
CHEROKEE - MARB,CHEROKEE - MARBLE,99.32,2,148,147
CHEROKEE - MURN,CHEROKEE - HANGING DOG & MURPHY NORTH,100.0,1,143,143
CHEROKEE - MURS,CHEROKEE - BRASSTOWN & MURPHY SOUTH,97.25,2,218,212
CHEROKEE - PCHT,CHEROKEE - PEACHTREE,96.55,2,116,112
CHEROKEE - RGER,CHEROKEE - NOTLA,98.7,2,77,76
CHEROKEE - TOPT,CHEROKEE - TOPTON,100.0,1,41,41
CHEROKEE - UNKA,CHEROKEE - BEAVERDAM,98.67,2,75,74
CHOWAN - 1,CHOWAN - EDENTON EAST,100.0,1,118,118
CHOWAN - 2,CHOWAN - EDENTON WEST,100.0,1,118,118
CHOWAN - 3,CHOWAN - ROCKY HOCK,100.0,1,91,91
CHOWAN - 4,CHOWAN - CENTER HILL,100.0,1,25,25
CHOWAN - 5,CHOWAN - WARDVILLE,100.0,1,35,35
CHOWAN - 6,CHOWAN - YEOPIM,100.0,1,77,77
CLAY - BRAS,CLAY - BRASSTOWN,100.0,1,49,49
CLAY - HAY1,CLAY - HAYESVILLE 1,100.0,1,52,52
CLAY - HAY2,CLAY - HAYESVILLE 2,100.0,1,95,95
CLAY - HAYC,CLAY - HAYESVILLE CENTRAL,100.0,1,39,39
CLAY - HIAW,CLAY - HIAWASSEE,94.74,3,76,72
CLAY - SHCR,CLAY - SHOOTING CREEK,98.9,2,91,90
CLAY - SWEE,CLAY - SWEETWATER,100.0,1,47,47
CLAY - TUSQ,CLAY - TUSQUITTEE,100.0,1,52,52
CLAY - WARN,CLAY - WARNE,100.0,1,40,40
CLEVELAND - BETHWR,CLEVELAND - BETHWARE,97.96,2,49,48
CLEVELAND - BR,CLEVELAND - BOILING SPRINGS,71.07,5,197,140
CLEVELAND - CASAR,CLEVELAND - CASAR,97.83,3,92,90
CLEVELAND - FALSTN,CLEVELAND - FALLSTON,98.53,2,68,67
CLEVELAND - GROVER,CLEVELAND - GROVER,100.0,1,119,119
CLEVELAND - KINGST,CLEVELAND - KINGSTOWN,91.3,2,23,21
CLEVELAND - KM N,CLEVELAND - KINGS MOUNTAIN 1,51.26,3,199,102
CLEVELAND - KM S,CLEVELAND - KINGS MOUNTAIN 3,55.79,3,190,106
CLEVELAND - LATT,CLEVELAND - LATTIMORE,98.11,3,212,208
CLEVELAND - LAWNDL,CLEVELAND - LAWNDALE,98.33,2,120,118
CLEVELAND - MRB-YO,CLEVELAND - MOORESBORO-YOUNG,100.0,1,123,123
CLEVELAND - MULLS,CLEVELAND - MULLS,99.26,2,136,135
CLEVELAND - OAKGRV,CLEVELAND - OAK GROVE,95.59,3,68,65
CLEVELAND - POLKVL,CLEVELAND - POLKVILLE,98.63,3,146,144
CLEVELAND - RIPPY,CLEVELAND - RIPPY,100.0,1,131,131
CLEVELAND - S C,CLEVELAND - SHELBY 3,38.03,3,376,143
CLEVELAND - S E,CLEVELAND - SHELBY 5,100.0,1,75,75
CLEVELAND - S N,CLEVELAND - SHELBY 4,56.68,4,187,106
CLEVELAND - S S,CLEVELAND - SHELBY 6,63.93,2,244,156
CLEVELAND - SHANGI,CLEVELAND - SHANGHAI,97.7,2,87,85
CLEVELAND - WACO,CLEVELAND - WACO,97.54,4,122,119
COLUMBUS - P02B,COLUMBUS - BOLTON,96.11,4,180,173
COLUMBUS - P06,COLUMBUS - CERRO GORDO,100.0,1,67,67
COLUMBUS - P07,COLUMBUS - CHADBOURN,100.0,1,222,222
COLUMBUS - P117,COLUMBUS - BOGUE,68.04,3,194,132
COLUMBUS - P121,COLUMBUS - LEES NORTH,42.45,4,106,45
COLUMBUS - P14,COLUMBUS - RANSOM,97.84,5,278,272
COLUMBUS - P15,COLUMBUS - TATUM,97.44,3,117,114
COLUMBUS - P16B,COLUMBUS - WACCAMAW,83.33,5,132,110
COLUMBUS - P19,COLUMBUS - WHITEVILLE 1,97.39,2,115,112
COLUMBUS - P223,COLUMBUS - WHITEVILLE 2,49.49,4,196,97
COLUMBUS - P22A,COLUMBUS - WHITEVILLE SOUTH,96.94,2,98,95
COLUMBUS - P245,COLUMBUS - WILLIAMS 1,66.91,2,139,93
COLUMBUS - P26B,COLUMBUS - WILLIAMS SOUTH,93.19,3,191,178
COLUMBUS - P534,COLUMBUS - BUG HILL 1,29.82,5,114,34
COLUMBUS - P82,COLUMBUS - WESTERN PRONG,63.01,3,73,46
COLUMBUS - P89,COLUMBUS - FAIR BLUFF,67.78,2,180,122
CRAVEN - 02,CRAVEN - HAVELOCK WEST,73.68,3,494,364
CRAVEN - 03,CRAVEN - TRENT WOODS,98.53,2,68,67
CRAVEN - 05,CRAVEN - RIVER BEND,90.91,2,44,40
CRAVEN - 07,CRAVEN - JASPER,100.0,1,94,94
CRAVEN - 11,CRAVEN - BRIDGETON,98.97,3,194,192
CRAVEN - 16,CRAVEN - GRANTHAM 1,100.0,1,84,84
CRAVEN - 17,CRAVEN - CROATAN,98.77,2,81,80
CRAVEN - 19,CRAVEN - HARLOWE,99.22,2,129,128
CRAVEN - 20,CRAVEN - FAIRFIELD HARBOUR,87.8,3,41,36
CRAVEN - 21,CRAVEN - BRICES CREEK,97.18,3,71,69
CRAVEN - 23,CRAVEN - GRANTHAM 2,95.76,3,165,158
CRAVEN - CFB8,CRAVEN - COVE CITY,73.81,2,84,62
CRAVEN - CLR4,CRAVEN - CLARKS,52.5,5,120,63
CRAVEN - DFB9,CRAVEN - DOVER,71.19,3,59,42
CRAVEN - N1,CRAVEN - GEORGE STREET,100.0,1,120,120
CRAVEN - N2,CRAVEN - FORT TOTTEN,100.0,1,112,112
CRAVEN - N3N5,CRAVEN - GLENBURNIE PARK,59.04,2,188,111
CRAVEN - N4,CRAVEN - H.J. MACDONALD,97.26,2,73,71
CRAVEN - N6,CRAVEN - NEW BERN WEST,96.94,3,98,95
CRAVEN - TE13,CRAVEN - ERNUL,52.63,3,114,60
CRAVEN - VE14,CRAVEN - VANCEBORO,77.08,4,192,148
CUMBERLAND - AH49,CUMBERLAND - ARRAN HILLS,98.15,2,54,53
CUMBERLAND - AL51-1,CUMBERLAND - ALDERMAN,100.0,1,22,22
CUMBERLAND - AL51-2,CUMBERLAND - ALDERMAN,100.0,1,35,35
CUMBERLAND - AL51-3,CUMBERLAND - ALDERMAN,100.0,1,42,42
CUMBERLAND - CC01,CUMBERLAND - CROSS CREEK 01,97.56,2,205,200
CUMBERLAND - CC03,CUMBERLAND - CROSS CREEK 03,100.0,1,78,78
CUMBERLAND - CC04,CUMBERLAND - CROSS CREEK 04,100.0,1,40,40
CUMBERLAND - CC06,CUMBERLAND - CROSS CREEK 06,100.0,1,45,45
CUMBERLAND - CC07,CUMBERLAND - CROSS CREEK 07,100.0,1,41,41
CUMBERLAND - CC08,CUMBERLAND - CROSS CREEK 08,100.0,1,40,40
CUMBERLAND - CC10,CUMBERLAND - CROSS CREEK 10,100.0,1,21,21
CUMBERLAND - CC12,CUMBERLAND - CROSS CREEK 12,100.0,1,34,34
CUMBERLAND - CC13,CUMBERLAND - CROSS CREEK 13,97.73,2,44,43
CUMBERLAND - CC14,CUMBERLAND - CROSS CREEK 14,100.0,1,65,65
CUMBERLAND - CC15,CUMBERLAND - CROSS CREEK 15,98.36,2,61,60
CUMBERLAND - CC16,CUMBERLAND - CROSS CREEK 16,100.0,1,38,38
CUMBERLAND - CC17,CUMBERLAND - CROSS CREEK 17,98.35,2,121,119
CUMBERLAND - CC18,CUMBERLAND - CROSS CREEK 18,98.0,2,50,49
CUMBERLAND - CC21,CUMBERLAND - CROSS CREEK 21,100.0,1,87,87
CUMBERLAND - CC22A,CUMBERLAND - CROSS CREEK 22,70.5,5,139,98
CUMBERLAND - CC23-2,CUMBERLAND - CROSS CREEK 23,55.74,2,61,34
CUMBERLAND - CC24,CUMBERLAND - CROSS CREEK 24,98.04,2,51,50
CUMBERLAND - CC25,CUMBERLAND - CROSS CREEK 25,100.0,1,34,34
CUMBERLAND - CC26,CUMBERLAND - CROSS CREEK 26,100.0,1,39,39
CUMBERLAND - CC27,CUMBERLAND - CROSS CREEK 27,100.0,1,64,64
CUMBERLAND - CC29,CUMBERLAND - CROSS CREEK 29,100.0,1,43,43
CUMBERLAND - CC31,CUMBERLAND - CROSS CREEK 31,100.0,1,72,72
CUMBERLAND - CC32,CUMBERLAND - CROSS CREEK 32,100.0,1,18,18
CUMBERLAND - CC33,CUMBERLAND - CROSS CREEK 33,100.0,1,54,54
CUMBERLAND - CC34,CUMBERLAND - CROSS CREEK 34,96.3,2,27,26
CUMBERLAND - CC519,CUMBERLAND - CROSS CREEK 19,58.06,2,124,72
CUMBERLAND - CL57-1,CUMBERLAND - CLIFFDALE WEST,94.34,2,53,50
CUMBERLAND - CL57-2,CUMBERLAND - CLIFFDALE WEST,100.0,1,47,47
CUMBERLAND - CU02,CUMBERLAND - CUMBERLAND 2,90.24,2,41,37
CUMBERLAND - EO01,CUMBERLAND - EASTOVER 1,96.84,4,158,153
CUMBERLAND - EO02,CUMBERLAND - EASTOVER 2,98.31,2,59,58
CUMBERLAND - G10A,CUMBERLAND - STONEY POINT 2,97.94,3,97,95
CUMBERLAND - G10B,CUMBERLAND - HOPE MILLS 4,64.29,3,70,45
CUMBERLAND - G10C,CUMBERLAND - STONEY POINT 1,99.04,2,104,103
CUMBERLAND - G11B,CUMBERLAND - MANCHESTER,99.5,2,600,597
CUMBERLAND - G1A,CUMBERLAND - CROSS CREEK 02,72.14,2,140,101
CUMBERLAND - G1B,CUMBERLAND - JUDSON-VANDER,96.25,3,80,77
CUMBERLAND - G2A,CUMBERLAND - CROSS CREEK 09,75.9,2,83,63
CUMBERLAND - G2C-1,CUMBERLAND - CROSS CREEK 23,85.45,4,55,47
CUMBERLAND - G2E-1,CUMBERLAND - WESTAREA,88.68,3,53,47
CUMBERLAND - G2E-2,CUMBERLAND - WESTAREA,76.12,3,67,51
CUMBERLAND - G3A-1,CUMBERLAND - PEARCES MILL 2,96.05,2,76,73
CUMBERLAND - G3A-2C,CUMBERLAND - PEARCES MILL 2,68.22,4,129,88
CUMBERLAND - G3B,CUMBERLAND - CROSS CREEK 11,88.17,2,93,82
CUMBERLAND - G3C,CUMBERLAND - PEARCES MILL 3,91.12,6,169,154
CUMBERLAND - G4A,CUMBERLAND - CROSS CREEK 30,89.19,2,74,66
CUMBERLAND - G4B,CUMBERLAND - CROSS CREEK 20,70.0,4,70,49
CUMBERLAND - G4C,CUMBERLAND - PEARCES MILL 4,100.0,1,39,39
CUMBERLAND - G5A-1,CUMBERLAND - AUMAN,97.3,2,37,36
CUMBERLAND - G5A-2,CUMBERLAND - AUMAN,100.0,1,56,56
CUMBERLAND - G5B-1,CUMBERLAND - CROSS CREEK 28,96.77,2,31,30
CUMBERLAND - G5B-2,CUMBERLAND - CROSS CREEK 28,67.74,2,31,21
CUMBERLAND - G5C,CUMBERLAND - BRENTWOOD,87.23,2,47,41
CUMBERLAND - G6A,CUMBERLAND - STEDMAN,100.0,1,121,121
CUMBERLAND - G6B,CUMBERLAND - BEAVER DAM & CEDAR CREEK,87.1,2,62,54
CUMBERLAND - G6C,CUMBERLAND - BEAVER DAM & CEDAR CREEK,100.0,1,60,60
CUMBERLAND - G7A,CUMBERLAND - BLACK RIVER,99.1,2,111,110
CUMBERLAND - G7B,CUMBERLAND - WADE,81.82,4,121,99
CUMBERLAND - G8A,CUMBERLAND - CUMBERLAND 4,92.54,3,67,62
CUMBERLAND - G8B,CUMBERLAND - CUMBERLAND 1A,70.83,3,48,34
CUMBERLAND - G8C,CUMBERLAND - CUMBERLAND 3,87.69,3,65,57
CUMBERLAND - G8D,CUMBERLAND - HOPE MILLS 1A,79.79,5,94,75
CUMBERLAND - G9A-3,CUMBERLAND - HOPE MILLS 3,71.59,4,88,63
CUMBERLAND - G9B-1,CUMBERLAND - HOPE MILLS 2,80.29,6,137,110
CUMBERLAND - G9B-2,CUMBERLAND - HOPE MILLS 2,98.18,3,110,108
CUMBERLAND - LI65,CUMBERLAND - LINDEN,92.91,2,127,118
CUMBERLAND - LO66A,CUMBERLAND - LONG HILL,78.79,3,99,78
CUMBERLAND - LR63,CUMBERLAND - LAKE RIM,100.0,1,71,71
CUMBERLAND - MB62,CUMBERLAND - MONTIBELLO,100.0,1,53,53
CUMBERLAND - MR02,CUMBERLAND - MORGANTON RD 2,87.1,3,62,54
CUMBERLAND - SH77,CUMBERLAND - SHERWOOD,100.0,1,57,57
CUMBERLAND - SL78-3,CUMBERLAND - SPRING LAKE,65.16,3,244,159
CURRITUCK - CB,CURRITUCK - CAROVA BEACH,100.0,1,82,82
CURRITUCK - CH,CURRITUCK - COURTHOUSE,100.0,1,47,47
CURRITUCK - CO,CURRITUCK - COINJOCK,74.19,2,31,23
CURRITUCK - EM,CURRITUCK - MOYOCK,97.56,2,41,40
CURRITUCK - GW,CURRITUCK - GIBBS WOODS,100.0,1,8,8
CURRITUCK - IR,CURRITUCK - INDIAN RIDGE,100.0,1,34,34
CURRITUCK - KI,CURRITUCK - KNOTTS ISLAND,100.0,1,29,29
CURRITUCK - PB,CURRITUCK - POPLAR BRANCH,100.0,1,81,81
CURRITUCK - PP,CURRITUCK - POWELLS POINT,100.0,1,34,34
CURRITUCK - WH,CURRITUCK - WHALEHEAD,100.0,1,78,78
CURRITUCK - WM,CURRITUCK - MOYOCK,100.0,1,58,58
DARE - AVON,DARE - AVON,92.31,3,65,60
DARE - BUX,DARE - BUXTON,88.64,2,44,39
DARE - CHCA,DARE - CHICAMACOMICO,77.27,3,132,102
DARE - COL,DARE - COLINGTON,100.0,1,43,43
DARE - DUCK,DARE - DUCK,76.67,3,30,23
DARE - EL,DARE - EAST LAKE,100.0,1,242,242
DARE - FRCO,DARE - FRISCO,85.19,2,27,23
DARE - HAT,DARE - HATTERAS,97.14,2,35,34
DARE - KDH,DARE - KILL DEVIL HILLS,97.45,3,275,268
DARE - KTHK,DARE - KITTY HAWK,93.58,4,109,102
DARE - MATO,DARE - MANTEO,100.0,1,165,165
DARE - MH,DARE - MANNS HARBOR,100.0,1,43,43
DARE - NGHD,DARE - NAGS HEAD,94.04,3,151,142
DARE - SOSH,DARE - SOUTHERN SHORES,98.63,2,73,72
DARE - STPT,DARE - STUMPY POINT,95.24,2,147,140
DARE - WAN,DARE - WANCHESE,52.78,3,36,19
DAVIDSON - 04,DAVIDSON - ARCADIA,98.9,2,91,90
DAVIDSON - 06,DAVIDSON - BOONE,100.0,1,111,111
DAVIDSON - 08,DAVIDSON - CENTRAL,88.46,3,52,46
DAVIDSON - 10,DAVIDSON - COTTON GROVE,100.0,1,77,77
DAVIDSON - 12,DAVIDSON - DENTON,100.0,1,99,99
DAVIDSON - 14,DAVIDSON - EMMONS,100.0,1,125,125
DAVIDSON - 16,DAVIDSON - GUMTREE,98.36,2,61,60
DAVIDSON - 18,DAVIDSON - HEALING SPRINGS,99.05,2,105,104
DAVIDSON - 20,DAVIDSON - HOLLY GROVE,95.6,4,91,87
DAVIDSON - 22,DAVIDSON - LEXINGTON 1,92.42,4,66,61
DAVIDSON - 24,DAVIDSON - LEXINGTON 2,100.0,1,52,52
DAVIDSON - 26,DAVIDSON - LEXINGTON 3,100.0,1,40,40
DAVIDSON - 28,DAVIDSON - LEXINGTON 4,96.43,3,112,108
DAVIDSON - 30,DAVIDSON - WARD 1,100.0,1,71,71
DAVIDSON - 32,DAVIDSON - WARD 2,98.97,2,97,96
DAVIDSON - 34,DAVIDSON - WARD 3,99.17,2,121,120
DAVIDSON - 36,DAVIDSON - WARD 4,97.96,2,98,96
DAVIDSON - 38,DAVIDSON - WARD 5,99.26,2,135,134
DAVIDSON - 40,DAVIDSON - WARD 6,97.27,3,110,107
DAVIDSON - 42,DAVIDSON - LIBERTY,100.0,1,92,92
DAVIDSON - 44,DAVIDSON - MIDWAY,100.0,1,75,75
DAVIDSON - 46,DAVIDSON - NORTH DAVIDSON,100.0,1,75,75
DAVIDSON - 48,DAVIDSON - REEDS YADKIN COLLEGE,100.0,1,84,84
DAVIDSON - 50,DAVIDSON - REEDY CREEK,98.81,2,84,83
DAVIDSON - 52,DAVIDSON - SILVER HILL,98.25,3,114,112
DAVIDSON - 54,DAVIDSON - SILVER VALLEY,98.08,2,52,51
DAVIDSON - 56,DAVIDSON - SOUTH DAVIDSON,93.75,4,112,105
DAVIDSON - 58,DAVIDSON - SOUTHMONT,100.0,1,75,75
DAVIDSON - 60,DAVIDSON - THOMASVILLE 01,99.21,2,127,126
DAVIDSON - 62,DAVIDSON - THOMASVILLE 02,97.56,3,82,80
DAVIDSON - 64,DAVIDSON - THOMASVILLE 03,100.0,1,59,59
DAVIDSON - 66,DAVIDSON - THOMASVILLE 04,98.29,3,117,115
DAVIDSON - 68,DAVIDSON - THOMASVILLE 05,94.95,3,99,94
DAVIDSON - 70,DAVIDSON - THOMASVILLE 07,96.74,2,92,89
DAVIDSON - 72,DAVIDSON - THOMASVILLE 08,94.94,4,79,75
DAVIDSON - 74,DAVIDSON - THOMASVILLE 09,100.0,1,90,90
DAVIDSON - 76,DAVIDSON - THOMASVILLE 10,94.79,3,96,91
DAVIDSON - 78,DAVIDSON - TYRO,95.31,2,64,61
DAVIDSON - 80A,DAVIDSON - WALLBURG,87.62,3,105,92
DAVIDSON - 82,DAVIDSON - WELCOME,100.0,1,76,76
DAVIDSON - 84,DAVIDSON - WEST ARCADIA,91.3,3,46,42
DAVIDSON - 86A,DAVIDSON - ABBOTTS CREEK,95.24,3,63,60
DAVIDSON - 88,DAVIDSON - ABBOTTS CREEK,98.55,2,69,68
DAVIE - 01,DAVIE - CALAHALN NORTH,100.0,1,53,53
DAVIE - 02,DAVIE - CALAHALN SOUTH,90.14,5,71,64
DAVIE - 03,DAVIE - CLARKSVILLE,98.84,2,86,85
DAVIE - 04,DAVIE - COOLEEMEE,94.44,2,72,68
DAVIE - 05,DAVIE - FARMINGTON,95.38,2,65,62
DAVIE - 06,DAVIE - FULTON,98.41,2,63,62
DAVIE - 07,DAVIE - JERUSALEM,100.0,1,48,48
DAVIE - 08,DAVIE - MOCKSVILLE NORTH CITY,92.31,3,65,60
DAVIE - 09,DAVIE - MOCKSVILLE SOUTH,99.05,2,105,104
DAVIE - 10,DAVIE - SHADY GROVE EAST,100.0,1,60,60
DAVIE - 11,DAVIE - SHADY GROVE WEST,95.16,4,62,59
DAVIE - 12,DAVIE - SMITH GROVE,100.0,1,57,57
DAVIE - 13,DAVIE - HILLSDALE,98.8,2,83,82
DAVIE - 14,DAVIE - MOCKSVILLE NORTH COUNTY,95.5,2,111,106
DUPLIN - ALBE,DUPLIN - ALBERTSON,100.0,1,76,76
DUPLIN - BEUL,DUPLIN - BEULAVILLE,99.04,3,208,206
DUPLIN - CALY,DUPLIN - CALYPSO,97.58,2,124,121
DUPLIN - CFRK,DUPLIN - CEDAR FORK,100.0,1,30,30
DUPLIN - CHAR,DUPLIN - CHARITY,100.0,1,68,68
DUPLIN - CHIN,DUPLIN - CHINQUAPIN,100.0,1,29,29
DUPLIN - CYCK,DUPLIN - CYPRESS CREEK,94.83,3,58,55
DUPLIN - FAIS,DUPLIN - FAISON,97.81,3,137,134
DUPLIN - GLIS,DUPLIN - GLISSON,100.0,1,42,42
DUPLIN - HALL,DUPLIN - HALLSVILLE,100.0,1,54,54
DUPLIN - KENA,DUPLIN - KENANSVILLE,99.04,3,209,207
DUPLIN - MAGN,DUPLIN - MAGNOLIA,99.44,2,179,178
DUPLIN - ROSE,DUPLIN - ROSE HILL,100.0,1,188,188
DUPLIN - SMCA,DUPLIN - SMITH/CABIN,90.91,2,55,50
DUPLIN - WARS,DUPLIN - WARSAW,98.69,3,306,302
DUPLIN - WLLC,DUPLIN - WALLACE,79.23,4,496,393
DUPLIN - WOLF,DUPLIN - WOLFSCRAPE,100.0,1,100,100
DURHAM - 01,DURHAM - 01,100.0,1,28,28
DURHAM - 02,DURHAM - 02,100.0,1,66,66
DURHAM - 03,DURHAM - 03,100.0,1,59,59
DURHAM - 04,DURHAM - 04,94.44,3,54,51
DURHAM - 05,DURHAM - 05,93.65,3,63,59
DURHAM - 06,DURHAM - 06,100.0,1,47,47
DURHAM - 07,DURHAM - 07,100.0,1,76,76
DURHAM - 08,DURHAM - 08,100.0,1,73,73
DURHAM - 09,DURHAM - 09,96.67,2,60,58
DURHAM - 10,DURHAM - 10,88.06,4,67,59
DURHAM - 12,DURHAM - 12,85.37,3,41,35
DURHAM - 13,DURHAM - 13,97.56,2,41,40
DURHAM - 14,DURHAM - 14,98.65,2,74,73
DURHAM - 15,DURHAM - 15,100.0,1,44,44
DURHAM - 17,DURHAM - 17,99.32,2,147,146
DURHAM - 18,DURHAM - 18,100.0,1,62,62
DURHAM - 19,DURHAM - 19,97.78,2,90,88
DURHAM - 20,DURHAM - 20,100.0,1,55,55
DURHAM - 21,DURHAM - 21,100.0,1,53,53
DURHAM - 22,DURHAM - 22,100.0,1,74,74
DURHAM - 23,DURHAM - 23,97.22,2,108,105
DURHAM - 24,DURHAM - 24,94.64,3,56,53
DURHAM - 25,DURHAM - 25,96.59,3,88,85
DURHAM - 26,DURHAM - 26,93.55,4,62,58
DURHAM - 27,DURHAM - 27,100.0,1,60,60
DURHAM - 28,DURHAM - 28,96.6,4,147,142
DURHAM - 29,DURHAM - 29,97.65,3,170,166
DURHAM - 30-2,DURHAM - 30-2,100.0,1,125,125
DURHAM - 30-3,DURHAM - 30-1,99.01,2,101,100
DURHAM - 30-4,DURHAM - 30-1,98.8,2,83,82
DURHAM - 31,DURHAM - 31,100.0,1,139,139
DURHAM - 32,DURHAM - 32,93.64,7,173,162
DURHAM - 33-1,DURHAM - 33,90.0,3,150,135
DURHAM - 33-2,DURHAM - 33,93.43,4,198,185
DURHAM - 34-1,DURHAM - 34,100.0,1,27,27
DURHAM - 34-2,DURHAM - 34,94.0,2,50,47
DURHAM - 35-4,DURHAM - 35,100.0,1,75,75
