year,status,raw_precinct_key,count,suggested_canonical_precinct_key,score,tier,reason,candidate_2,candidate_3
2016,UNMATCHED,NORTHAMPTON - JACKSO,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NORTHAMPTON - MILWAU,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NORTHAMPTON - PENDLE,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NORTHAMPTON - PLEASA,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NORTHAMPTON - POTECA,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NORTHAMPTON - REHOBE,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,NORTHAMPTON - WOODLA,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,ORANGE - BC,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,ORANGE - BP,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,ORANGE - CB,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,ORANGE - CP,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,ORANGE - GR,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,ORANGE - LC,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,ORANGE - LI,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,ORANGE - MF,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,PAMLICO - 1AL A,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,PAMLICO - 1GB,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,PAMLICO - 2SW,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,PAMLICO - 3BY,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,PAMLICO - 4HB,12,,0.0000,MANUAL_REQUIRED,none,,
2016,UNMATCHED,PAMLICO - 4MSIC,12,,0.0000,MANUAL_REQUIRED,none,,
