sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
BUNCOMBE - 39.3,BUNCOMBE - 39.3,2737,48,2737,1.0
BUNCOMBE - 39.3,BUNCOMBE - 60.2,0,3,2737,0.0
BUNCOMBE - 40.2,BUNCOMBE - 40.2,4154,80,4154,1.0
BUNCOMBE - 41.1,BUNCOMBE - 41.1,3929,86,3944,0.9961967545638946
BUNCOMBE - 41.1,MADISON - NORTH,15,6,3944,0.0038032454361054766
BUNCOMBE - 41.1,MADISON - MARS H,0,1,3944,0.0
BUNCOMBE - 42.1,BUNCOMBE - 42.1,3137,61,3137,1.0
BUNCOMBE - 42.1,BUNCOMBE - 68.1,0,1,3137,0.0
BUNCOMBE - 43.2,BUNCOMBE - 43.2,2232,33,2232,1.0
BUNCOMBE - 44.1,BUNCOMBE - 44.1,6141,128,6141,1.0
BUNCOMBE - 45.1,BUNCOMBE - 45.1,4792,85,4812,0.9958437240232751
BUNCOMBE - 45.1,BUNCOMBE - 48.1,20,1,4812,0.004156275976724855
BUNCOMBE - 46.1,BUNCOMBE - 46.1,1679,45,1746,0.9616265750286369
BUNCOMBE - 46.1,BUNCOMBE - 44.1,67,1,1746,0.03837342497136312
BUNCOMBE - 46.1,HENDERSON - NM,0,1,1746,0.0
BUNCOMBE - 47.1,BUNCOMBE - 47.1,4909,100,4909,1.0
BUNCOMBE - 47.1,HENDERSON - NM,0,1,4909,0.0
BUNCOMBE - 48.1,BUNCOMBE - 48.1,4760,89,4760,1.0
BUNCOMBE - 49.1,BUNCOMBE - 49.1,4984,76,4984,1.0
BUNCOMBE - 50.1,BUNCOMBE - 50.1,1699,50,1699,1.0
BUNCOMBE - 51.2,BUNCOMBE - 51.2,2245,61,2247,0.9991099243435692
BUNCOMBE - 51.2,MADISON - BEECH,2,4,2247,0.0008900756564307966
BUNCOMBE - 52.1,BUNCOMBE - 52.1,4660,67,4660,1.0
BUNCOMBE - 53.1,BUNCOMBE - 53.1,3568,67,3569,0.9997198094704399
BUNCOMBE - 53.1,BUNCOMBE - 52.1,1,1,3569,0.0002801905295601009
BUNCOMBE - 54.2,BUNCOMBE - 54.2,5304,165,5304,1.0
BUNCOMBE - 54.2,HENDERSON - FL,0,5,5304,0.0
BUNCOMBE - 55.1,BUNCOMBE - 55.1,3039,40,3039,1.0
BUNCOMBE - 56.2,BUNCOMBE - 56.2,2149,35,2168,0.9912361623616236
BUNCOMBE - 56.2,BUNCOMBE - 29.2,19,1,2168,0.008763837638376383
BUNCOMBE - 57.1,BUNCOMBE - 57.1,2912,58,2912,1.0
BUNCOMBE - 58.1,BUNCOMBE - 58.1,2422,83,2422,1.0
BUNCOMBE - 59.1,BUNCOMBE - 59.1,4014,77,4052,0.9906219151036525
BUNCOMBE - 59.1,BUNCOMBE - 67.1,38,1,4052,0.009378084896347482
BUNCOMBE - 60.2,BUNCOMBE - 60.2,1631,16,1631,1.0
BUNCOMBE - 60.4,BUNCOMBE - 60.4,1486,35,1486,1.0
BUNCOMBE - 61.1,BUNCOMBE - 61.1,2448,58,2448,1.0
BUNCOMBE - 62.1,BUNCOMBE - 62.1,2845,26,2845,1.0
BUNCOMBE - 63.1,BUNCOMBE - 63.1,673,19,673,1.0
BUNCOMBE - 63.1,BUNCOMBE - 52.1,0,1,673,0.0
BUNCOMBE - 64.1,BUNCOMBE - 64.1,2271,81,2271,1.0
BUNCOMBE - 65.1,BUNCOMBE - 65.1,3333,77,3333,1.0
BUNCOMBE - 65.1,BUNCOMBE - 50.1,0,2,3333,0.0
BUNCOMBE - 66.1,BUNCOMBE - 66.1,2057,42,2057,1.0
BUNCOMBE - 67.1,BUNCOMBE - 67.1,2467,62,2467,1.0
BUNCOMBE - 68.1,BUNCOMBE - 68.1,5463,83,5472,0.9983552631578947
BUNCOMBE - 68.1,BUNCOMBE - 681,9,1,5472,0.001644736842105263
BUNCOMBE - 681,BUNCOMBE - 681,431,10,431,1.0
BUNCOMBE - 69.1,BUNCOMBE - 69.1,3355,52,3355,1.0
BUNCOMBE - 70.1,BUNCOMBE - 70.1,3929,113,3992,0.9842184368737475
BUNCOMBE - 70.1,BUNCOMBE - 71.1,63,2,3992,0.015781563126252503
BUNCOMBE - 71.1,BUNCOMBE - 71.1,4848,134,4848,1.0
