sbe_precinct_id,onemap_precinct_id,vap_weight,block_count,src_vap_total,share
BUNCOMBE - 19.1,BUNCOMBE - 19.1,2209,20,2209,1.0
BUNCOMBE - 20.1,BUNCOMBE - 20.1,1069,26,1069,1.0
BUNCOMBE - 21.1,BUNCOMBE - 21.1,3061,41,3061,1.0
BUNCOMBE - 22.2,BUNCOMBE - 22.2,2273,59,2273,1.0
BUNCOMBE - 23.2,BUNCOMBE - 23.2,574,22,574,1.0
BUNCOMBE - 23.3,BUNCOMBE - 23.3,805,17,805,1.0
BUNCOMBE - 24.1,BUNCOMBE - 24.1,2810,95,2810,1.0
BUNCOMBE - 25.1,BUNCOMBE - 25.1,2737,46,2737,1.0
BUNCOMBE - 25.1,BUNCOMBE - 60.2,0,1,2737,0.0
BUNCOMBE - 26.1,BUNCOMBE - 26.1,2240,47,2240,1.0
BUNCOMBE - 27.2,BUNCOMBE - 27.2,830,32,830,1.0
BUNCOMBE - 28.1,BUNCOMBE - 28.1,3257,41,3257,1.0
BUNCOMBE - 29.2,BUNCOMBE - 29.2,3465,37,3465,1.0
BUNCOMBE - 30.2,BUNCOMBE - 30.2,3442,30,3442,1.0
BUNCOMBE - 30.3,BUNCOMBE - 30.3,3365,56,3365,1.0
BUNCOMBE - 31.1,BUNCOMBE - 31.1,1150,58,1150,1.0
BUNCOMBE - 32.1,BUNCOMBE - 32.1,2811,76,2811,1.0
BUNCOMBE - 33.2,BUNCOMBE - 33.2,1402,58,1402,1.0
BUNCOMBE - 33.3,BUNCOMBE - 33.3,2201,62,2201,1.0
BUNCOMBE - 34.1,BUNCOMBE - 34.1,1173,51,1173,1.0
BUNCOMBE - 35.1,BUNCOMBE - 35.1,2119,52,2119,1.0
BUNCOMBE - 36.1,BUNCOMBE - 36.1,2634,86,2634,1.0
BUNCOMBE - 37.1,BUNCOMBE - 37.1,1637,82,1637,1.0
BUNCOMBE - 38.2,BUNCOMBE - 38.2,1872,37,1872,1.0
BUNCOMBE - 38.3,BUNCOMBE - 38.3,3509,55,3509,1.0
BUNCOMBE - 39.2,BUNCOMBE - 39.2,1691,41,1691,1.0
BUNCOMBE - 39.3,BUNCOMBE - 39.3,2737,48,2737,1.0
BUNCOMBE - 40.2,BUNCOMBE - 40.2,4154,80,4154,1.0
BUNCOMBE - 41.1,BUNCOMBE - 41.1,3929,86,3929,1.0
BUNCOMBE - 42.1,BUNCOMBE - 42.1,3137,61,3137,1.0
BUNCOMBE - 43.2,BUNCOMBE - 43.2,2232,33,2232,1.0
BUNCOMBE - 44.1,BUNCOMBE - 44.1,6208,132,6208,1.0
BUNCOMBE - 45.1,BUNCOMBE - 45.1,4792,85,4792,1.0
BUNCOMBE - 46.1,BUNCOMBE - 46.1,1679,45,1679,1.0
BUNCOMBE - 47.1,BUNCOMBE - 47.1,4911,101,4911,1.0
BUNCOMBE - 48.1,BUNCOMBE - 48.1,4780,90,4780,1.0
BUNCOMBE - 49.1,BUNCOMBE - 49.1,4984,76,4984,1.0
BUNCOMBE - 50.1,BUNCOMBE - 50.1,1699,54,1699,1.0
BUNCOMBE - 51.2,BUNCOMBE - 51.2,2252,62,2252,1.0
BUNCOMBE - 52.1,BUNCOMBE - 52.1,4661,69,4661,1.0
BUNCOMBE - 53.1,BUNCOMBE - 53.1,3568,67,3568,1.0
BUNCOMBE - 54.2,BUNCOMBE - 54.2,5417,173,5417,1.0
BUNCOMBE - 55.1,BUNCOMBE - 55.1,3039,40,3039,1.0
BUNCOMBE - 56.2,BUNCOMBE - 56.2,2149,35,2149,1.0
BUNCOMBE - 57.1,BUNCOMBE - 57.1,2921,58,2921,1.0
BUNCOMBE - 57.1,BUNCOMBE - 19.1,0,1,2921,0.0
BUNCOMBE - 58.1,BUNCOMBE - 58.1,2422,83,2422,1.0
BUNCOMBE - 59.1,BUNCOMBE - 59.1,4014,76,4014,1.0
BUNCOMBE - 59.1,BUNCOMBE - 67.1,0,1,4014,0.0
BUNCOMBE - 60.2,BUNCOMBE - 60.2,1631,19,1631,1.0
BUNCOMBE - 60.4,BUNCOMBE - 60.4,1486,35,1486,1.0
BUNCOMBE - 61.1,BUNCOMBE - 61.1,2448,58,2448,1.0
BUNCOMBE - 62.1,BUNCOMBE - 62.1,2845,26,2845,1.0
BUNCOMBE - 63.1,BUNCOMBE - 63.1,673,19,673,1.0
BUNCOMBE - 64.1,BUNCOMBE - 64.1,2271,81,2271,1.0
BUNCOMBE - 65.1,BUNCOMBE - 65.1,3333,77,3333,1.0
BUNCOMBE - 66.1,BUNCOMBE - 66.1,2057,42,2057,1.0
BUNCOMBE - 67.1,BUNCOMBE - 67.1,2501,62,2505,0.9984031936127744
BUNCOMBE - 67.1,BUNCOMBE - 59.1,4,1,2505,0.0015968063872255488
BUNCOMBE - 68.1,BUNCOMBE - 68.1,5463,84,5463,1.0
BUNCOMBE - 681,BUNCOMBE - 681,440,11,440,1.0
BUNCOMBE - 69.1,BUNCOMBE - 69.1,3355,52,3355,1.0
