"precinct_id","vap_18plus","white_vap","black_vap","native_vap","asian_vap","white_vap_pct","black_vap_pct","native_vap_pct","asian_vap_pct","hispanic_vap","hispanic_vap_pct"
"DAVIDSON - 36","1883","1194","392","18","39","63.41","20.82","0.96","2.07","",""
"DAVIDSON - 38","1966","620","863","19","55","31.54","43.9","0.97","2.8","",""
"DAVIDSON - 40","2681","1894","508","23","34","70.65","18.95","0.86","1.27","",""
"DAVIDSON - 42","3061","2838","26","25","7","92.71","0.85","0.82","0.23","",""
"DAVIDSON - 44","4160","3562","393","19","26","85.62","9.45","0.46","0.62","",""
"DAVIDSON - 46","2999","2611","131","12","24","87.06","4.37","0.4","0.8","",""
"DAVIDSON - 48","2912","2659","72","12","30","91.31","2.47","0.41","1.03","",""
"DAVIDSON - 50","4013","3712","47","17","22","92.5","1.17","0.42","0.55","",""
"DAVIDSON - 52","4936","4589","51","19","40","92.97","1.03","0.38","0.81","",""
"DAVIDSON - 54","2312","2212","18","11","2","95.67","0.78","0.48","0.09","",""
"DAVIDSON - 56","1413","1361","4","1","1","96.32","0.28","0.07","0.07","",""
"DAVIDSON - 58","3767","3396","144","30","13","90.15","3.82","0.8","0.35","",""
"DAVIDSON - 60","5539","3794","753","70","88","68.5","13.59","1.26","1.59","",""
"DAVIDSON - 62","2546","906","1070","26","21","35.59","42.03","1.02","0.82","",""
"DAVIDSON - 64","2088","729","975","10","12","34.91","46.7","0.48","0.57","",""
"DAVIDSON - 66","2579","1647","439","15","34","63.86","17.02","0.58","1.32","",""
"DAVIDSON - 68","3065","1805","622","38","74","58.89","20.29","1.24","2.41","",""
"DAVIDSON - 70","2611","2222","123","21","25","85.1","4.71","0.8","0.96","",""
"DAVIDSON - 72","3118","2721","118","16","50","87.27","3.78","0.51","1.6","",""
"DAVIDSON - 74","4546","4177","79","24","16","91.88","1.74","0.53","0.35","",""
"DAVIDSON - 76","3520","3066","106","31","43","87.1","3.01","0.88","1.22","",""
"DAVIDSON - 78","3879","3423","138","22","20","88.24","3.56","0.57","0.52","",""
"DAVIDSON - 80A","5284","4908","88","19","53","92.88","1.67","0.36","1.0","",""
"DAVIDSON - 82","3155","2824","64","9","93","89.51","2.03","0.29","2.95","",""
"DAVIDSON - 84","5865","5189","279","22","52","88.47","4.76","0.38","0.89","",""
"DAVIDSON - 86A","4188","2926","744","18","153","69.87","17.77","0.43","3.65","",""
"DAVIDSON - 88","2827","2209","247","26","88","78.14","8.74","0.92","3.11","",""
"DAVIE - 01","1153","950","92","6","0","82.39","7.98","0.52","0.0","",""
"DAVIE - 02","1291","1120","50","14","0","86.75","3.87","1.08","0.0","",""
"DAVIE - 03","2968","2591","103","19","3","87.3","3.47","0.64","0.1","",""
"DAVIE - 04","2511","1907","212","7","4","75.95","8.44","0.28","0.16","",""
"DAVIE - 05","2646","2358","81","8","8","89.12","3.06","0.3","0.3","",""
"DAVIE - 06","1813","1607","91","8","2","88.64","5.02","0.44","0.11","",""
"DAVIE - 07","1944","1647","132","2","15","84.72","6.79","0.1","0.77","",""
"DAVIE - 08","2702","1835","441","30","26","67.91","16.32","1.11","0.96","",""
"DAVIE - 09","2651","2013","247","17","21","75.93","9.32","0.64","0.79","",""
"DAVIE - 10","2547","2331","65","7","15","91.52","2.55","0.27","0.59","",""
"DAVIE - 11","1895","1732","34","7","6","91.4","1.79","0.37","0.32","",""
"DAVIE - 12","3775","3432","122","9","37","90.91","3.23","0.24","0.98","",""
"DAVIE - 13","3278","2968","99","15","63","90.54","3.02","0.46","1.92","",""
"DAVIE - 14","2610","2236","156","11","15","85.67","5.98","0.42","0.57","",""
"DUPLIN - ALBE","2005","1128","131","31","4","56.26","6.53","1.55","0.2","",""
"DUPLIN - BEUL","3368","2741","329","22","16","81.38","9.77","0.65","0.48","",""
"DUPLIN - CALY","903","620","120","12","4","68.66","13.29","1.33","0.44","",""
"DUPLIN - CFRK","831","727","43","2","2","87.48","5.17","0.24","0.24","",""
"DUPLIN - CHAR","1531","631","650","7","0","41.21","42.46","0.46","0.0","",""
"DUPLIN - CHIN","907","693","152","2","9","76.41","16.76","0.22","0.99","",""
"DUPLIN - CYCK","1392","1183","119","3","8","84.99","8.55","0.22","0.57","",""
"DUPLIN - FAIS","1791","818","470","17","0","45.67","26.24","0.95","0.0","",""
"DUPLIN - GLIS","902","611","44","18","0","67.74","4.88","2.0","0.0","",""
"DUPLIN - HALL","1493","945","407","3","3","63.3","27.26","0.2","0.2","",""
"DUPLIN - KENA","3613","1745","1303","14","16","48.3","36.06","0.39","0.44","",""
"DUPLIN - MAGN","1863","690","559","31","2","37.04","30.01","1.66","0.11","",""
"DUPLIN - ROSE","2088","982","652","17","10","47.03","31.23","0.81","0.48","",""
"DUPLIN - SMCA","1444","1078","198","14","2","74.65","13.71","0.97","0.14","",""
"DUPLIN - WARS","3864","1263","1906","32","22","32.69","49.33","0.83","0.57","",""
"DUPLIN - WLLC","6888","3766","1929","39","35","54.67","28.01","0.57","0.51","",""
"DUPLIN - WOLF","2160","1365","117","57","2","63.19","5.42","2.64","0.09","",""
"DURHAM - 01","1980","723","592","20","31","36.52","29.9","1.01","1.57","",""
"DURHAM - 02","4212","1571","2003","24","122","37.3","47.55","0.57","2.9","",""
"DURHAM - 03","3105","2249","118","5","377","72.43","3.8","0.16","12.14","",""
"DURHAM - 04","1578","1274","82","4","40","80.74","5.2","0.25","2.53","",""
"DURHAM - 05","10381","2610","4533","43","1886","25.14","43.67","0.41","18.17","",""
"DURHAM - 06","2500","1274","525","13","149","50.96","21.0","0.52","5.96","",""
"DURHAM - 07","2981","2200","267","23","198","73.8","8.96","0.77","6.64","",""
"DURHAM - 08","3106","1368","1124","18","202","44.04","36.19","0.58","6.5","",""
"DURHAM - 09","2622","1505","738","15","69","57.4","28.15","0.57","2.63","",""
"DURHAM - 10","2803","997","1369","10","94","35.57","48.84","0.36","3.35","",""
"DURHAM - 12","817","93","593","9","8","11.38","72.58","1.1","0.98","",""
"DURHAM - 13","1462","74","1119","4","6","5.06","76.54","0.27","0.41","",""
"DURHAM - 14","3228","697","1716","53","50","21.59","53.16","1.64","1.55","",""
"DURHAM - 15","2047","391","1006","27","28","19.1","49.15","1.32","1.37","",""
"DURHAM - 17","4294","1608","1755","71","109","37.45","40.87","1.65","2.54","",""
"DURHAM - 18","3877","466","1767","120","17","12.02","45.58","3.1","0.44","",""
"DURHAM - 19","3886","1155","1778","39","37","29.72","45.75","1.0","0.95","",""
"DURHAM - 20","2358","1514","373","21","61","64.21","15.82","0.89","2.59","",""
"DURHAM - 21","2121","1255","394","10","35","59.17","18.58","0.47","1.65","",""
"DURHAM - 22","6382","1126","3796","53","56","17.64","59.48","0.83","0.88","",""
"DURHAM - 23","7475","1557","4464","61","225","20.83","59.72","0.82","3.01","",""
"DURHAM - 24","5090","2823","1268","22","173","55.46","24.91","0.43","3.4","",""
"DURHAM - 25","3689","2609","583","37","37","70.72","15.8","1.0","1.0","",""
"DURHAM - 26","1559","1213","242","6","8","77.81","15.52","0.38","0.51","",""
"DURHAM - 27","3358","2550","329","3","219","75.94","9.8","0.09","6.52","",""
"DURHAM - 28","6026","3723","1979","44","78","61.78","32.84","0.73","1.29","",""
"DURHAM - 29","5246","2113","1876","28","51","40.28","35.76","0.53","0.97","",""
"DURHAM - 30-2","8146","2125","4650","79","121","26.09","57.08","0.97","1.49","",""
"DURHAM - 30-3","6247","2247","2407","42","227","35.97","38.53","0.67","3.63","",""
"DURHAM - 30-4","4996","2360","1769","26","379","47.24","35.41","0.52","7.59","",""
"DURHAM - 31","7096","3138","2337","40","418","44.22","32.93","0.56","5.89","",""
"DURHAM - 32","5929","4596","483","15","360","77.52","8.15","0.25","6.07","",""
"DURHAM - 33-1","5868","2892","1952","40","415","49.28","33.27","0.68","7.07","",""
"DURHAM - 33-2","7373","2820","2238","47","1518","38.25","30.35","0.64","20.59","",""
"DURHAM - 34-1","3337","1166","1537","12","131","34.94","46.06","0.36","3.93","",""
"DURHAM - 34-2","6432","1497","3655","23","402","23.27","56.83","0.36","6.25","",""
"DURHAM - 35-4","4519","2622","940","16","559","58.02","20.8","0.35","12.37","",""
"DURHAM - 35-5","5140","2852","1295","29","407","55.49","25.19","0.56","7.92","",""
"DURHAM - 36","3960","1729","1086","52","224","43.66","27.42","1.31","5.66","",""
"DURHAM - 37","6306","4492","859","18","321","71.23","13.62","0.29","5.09","",""
"DURHAM - 38","9546","4580","2518","47","880","47.98","26.38","0.49","9.22","",""
"DURHAM - 40","2321","1348","575","21","46","58.08","24.77","0.9","1.98","",""
"DURHAM - 41","1458","99","1145","11","6","6.79","78.53","0.75","0.41","",""
"DURHAM - 42","1308","83","993","8","8","6.35","75.92","0.61","0.61","",""
"DURHAM - 43","7236","5225","710","23","671","72.21","9.81","0.32","9.27","",""
"DURHAM - 44","6408","4326","1327","33","228","67.51","20.71","0.51","3.56","",""
"DURHAM - 45","5324","3543","1011","18","171","66.55","18.99","0.34","3.21","",""
"DURHAM - 46","4781","1628","1807","44","121","34.05","37.8","0.92","2.53","",""
"DURHAM - 47","2163","249","1407","12","49","11.51","65.05","0.55","2.27","",""
"DURHAM - 50","4834","2762","968","22","457","57.14","20.02","0.46","9.45","",""
"DURHAM - 51","5694","3783","971","21","428","66.44","17.05","0.37","7.52","",""
"DURHAM - 52","4711","609","2434","50","44","12.93","51.67","1.06","0.93","",""
"DURHAM - 53-2","4998","3641","518","13","402","72.85","10.36","0.26","8.04","",""
"DURHAM - 54","9608","4406","3398","41","674","45.86","35.37","0.43","7.01","",""
"DURHAM - 55-11","2036","179","1484","22","14","8.79","72.89","1.08","0.69","",""
"DURHAM - 55-49","2657","37","2556","0","8","1.39","96.2","0.0","0.3","",""
"DURHAM - 56","4990","3407","1002","21","183","68.28","20.08","0.42","3.67","",""
"DURHAM - 57","5960","3738","1249","7","434","62.72","20.96","0.12","7.28","",""
"EDGECOMBE - 0101","2172","304","1720","3","6","14.0","79.19","0.14","0.28","",""
"EDGECOMBE - 0102","3775","1725","1810","10","18","45.7","47.95","0.26","0.48","",""
"EDGECOMBE - 0103","2635","1308","1093","7","12","49.64","41.48","0.27","0.46","",""
"EDGECOMBE - 0104","2269","1065","1072","12","9","46.94","47.25","0.53","0.4","",""
"EDGECOMBE - 0201","1236","583","537","8","0","47.17","43.45","0.65","0.0","",""
"EDGECOMBE - 0301","525","265","222","0","1","50.48","42.29","0.0","0.19","",""
"EDGECOMBE - 0401","628","285","313","0","0","45.38","49.84","0.0","0.0","",""
"EDGECOMBE - 0501","815","336","302","9","2","41.23","37.06","1.1","0.25","",""
"EDGECOMBE - 0601","1055","319","687","5","1","30.24","65.12","0.47","0.09","",""
"EDGECOMBE - 0701","1832","495","1144","10","0","27.02","62.45","0.55","0.0","",""
"EDGECOMBE - 0801","1739","1127","470","23","0","64.81","27.03","1.32","0.0","",""
"EDGECOMBE - 0901","1269","960","227","3","13","75.65","17.89","0.24","1.02","",""
"EDGECOMBE - 1001","2245","1193","933","7","5","53.14","41.56","0.31","0.22","",""
"EDGECOMBE - 1101","1155","696","363","2","0","60.26","31.43","0.17","0.0","",""
"EDGECOMBE - 1201","3946","217","3574","18","7","5.5","90.57","0.46","0.18","",""
"EDGECOMBE - 1202","2100","144","1887","8","5","6.86","89.86","0.38","0.24","",""
"EDGECOMBE - 1203","3272","1544","1521","6","4","47.19","46.49","0.18","0.12","",""
"EDGECOMBE - 1204","1694","100","1534","3","1","5.9","90.55","0.18","0.06","",""
"EDGECOMBE - 1205","1225","49","1123","2","1","4.0","91.67","0.16","0.08","",""
"EDGECOMBE - 1301","1377","1042","262","6","1","75.67","19.03","0.44","0.07","",""
"EDGECOMBE - 1401","1225","923","231","6","2","75.35","18.86","0.49","0.16","",""
"FORSYTH - 012","3023","2544","126","17","23","84.15","4.17","0.56","0.76","",""
"FORSYTH - 013","4285","3166","652","14","85","73.89","15.22","0.33","1.98","",""
"FORSYTH - 014","2608","2041","248","11","68","78.26","9.51","0.42","2.61","",""
"FORSYTH - 015","3409","2559","503","7","76","75.07","14.76","0.21","2.23","",""
"FORSYTH - 016","2848","2028","470","19","93","71.21","16.5","0.67","3.27","",""
"FORSYTH - 017","2230","1591","354","10","38","71.35","15.87","0.45","1.7","",""
"FORSYTH - 021","3960","3506","211","17","14","88.54","5.33","0.43","0.35","",""
"FORSYTH - 031","2227","1595","418","6","15","71.62","18.77","0.27","0.67","",""
"FORSYTH - 032","3146","2266","576","9","36","72.03","18.31","0.29","1.14","",""
"FORSYTH - 033","3329","1554","1112","38","30","46.68","33.4","1.14","0.9","",""
"FORSYTH - 034","2883","1987","503","28","22","68.92","17.45","0.97","0.76","",""
"FORSYTH - 042","4717","2374","1408","27","76","50.33","29.85","0.57","1.61","",""
"FORSYTH - 043","4391","2031","917","64","33","46.25","20.88","1.46","0.75","",""
"FORSYTH - 051","3648","2748","347","20","149","75.33","9.51","0.55","4.08","",""
"FORSYTH - 052","1267","1141","48","0","21","90.06","3.79","0.0","1.66","",""
"FORSYTH - 053","2614","2180","160","10","80","83.4","6.12","0.38","3.06","",""
"FORSYTH - 054","2668","2332","146","3","59","87.41","5.47","0.11","2.21","",""
"FORSYTH - 055","4025","3179","259","15","252","78.98","6.43","0.37","6.26","",""
"FORSYTH - 061","3106","2033","482","31","38","65.45","15.52","1.0","1.22","",""
"FORSYTH - 062","1939","1592","182","14","19","82.1","9.39","0.72","0.98","",""
"FORSYTH - 063","4374","3328","592","35","64","76.09","13.53","0.8","1.46","",""
"FORSYTH - 064","1598","1219","168","14","19","76.28","10.51","0.88","1.19","",""
"FORSYTH - 065","4206","3346","479","20","100","79.55","11.39","0.48","2.38","",""
"FORSYTH - 066","3354","2371","263","44","49","70.69","7.84","1.31","1.46","",""
"FORSYTH - 067","2757","1964","432","12","25","71.24","15.67","0.44","0.91","",""
"FORSYTH - 068","2772","2336","254","4","20","84.27","9.16","0.14","0.72","",""
"FORSYTH - 071","3824","3181","243","13","133","83.19","6.35","0.34","3.48","",""
"FORSYTH - 073","2994","2749","90","3","26","91.82","3.01","0.1","0.87","",""
"FORSYTH - 074","3588","2682","399","6","243","74.75","11.12","0.17","6.77","",""
"FORSYTH - 075","785","692","22","2","9","88.15","2.8","0.25","1.15","",""
"FORSYTH - 076","3487","2704","348","5","127","77.55","9.98","0.14","3.64","",""
"FORSYTH - 077","3369","2322","265","14","146","68.92","7.87","0.42","4.33","",""
"FORSYTH - 081","4260","1941","1472","42","47","45.56","34.55","0.99","1.1","",""
"FORSYTH - 083","2563","1120","1023","22","11","43.7","39.91","0.86","0.43","",""
"FORSYTH - 084","2481","982","1224","7","16","39.58","49.33","0.28","0.64","",""
"FORSYTH - 085","2458","1738","452","20","32","70.71","18.39","0.81","1.3","",""
"FORSYTH - 091","2420","2077","187","6","15","85.83","7.73","0.25","0.62","",""
"FORSYTH - 092","1892","1670","96","6","13","88.27","5.07","0.32","0.69","",""
"FORSYTH - 101","2565","1476","584","7","15","57.54","22.77","0.27","0.58","",""
"FORSYTH - 111","2093","1766","133","17","6","84.38","6.35","0.81","0.29","",""
"FORSYTH - 112","3675","2851","486","25","8","77.58","13.22","0.68","0.22","",""
"FORSYTH - 121","3790","2107","1070","14","128","55.59","28.23","0.37","3.38","",""
"FORSYTH - 123","3697","2442","698","23","164","66.05","18.88","0.62","4.44","",""
"FORSYTH - 124","3668","1637","1363","25","147","44.63","37.16","0.68","4.01","",""
"FORSYTH - 131","3570","2761","370","15","190","77.34","10.36","0.42","5.32","",""
"FORSYTH - 132","4371","3326","549","11","173","76.09","12.56","0.25","3.96","",""
"FORSYTH - 134","3093","2728","123","19","36","88.2","3.98","0.61","1.16","",""
"FORSYTH - 135","3110","2450","179","16","267","78.78","5.76","0.51","8.59","",""
"FORSYTH - 202","3052","1056","1530","7","87","34.6","50.13","0.23","2.85","",""
"FORSYTH - 203","1879","108","1599","12","2","5.75","85.1","0.64","0.11","",""
"FORSYTH - 204","1905","394","1128","18","21","20.68","59.21","0.94","1.1","",""
"FORSYTH - 205","895","40","742","11","2","4.47","82.91","1.23","0.22","",""
"FORSYTH - 206","2046","311","1110","39","10","15.2","54.25","1.91","0.49","",""
"FORSYTH - 207","3635","838","1729","46","36","23.05","47.57","1.27","0.99","",""
"FORSYTH - 208","3285","1010","1535","20","57","30.75","46.73","0.61","1.74","",""
"FORSYTH - 301","1088","62","807","0","0","5.7","74.17","0.0","0.0","",""
"FORSYTH - 302","1234","117","873","9","0","9.48","70.75","0.73","0.0","",""
"FORSYTH - 303","947","34","740","8","2","3.59","78.14","0.84","0.21","",""
"FORSYTH - 304","1991","58","1740","4","12","2.91","87.39","0.2","0.6","",""
"FORSYTH - 305","1510","76","1231","11","15","5.03","81.52","0.73","0.99","",""
"FORSYTH - 306","2398","471","1031","40","11","19.64","42.99","1.67","0.46","",""
"FORSYTH - 401","2436","416","1579","14","10","17.08","64.82","0.57","0.41","",""
"FORSYTH - 402","1494","79","1182","9","2","5.29","79.12","0.6","0.13","",""
"FORSYTH - 403","2270","388","1553","9","37","17.09","68.41","0.4","1.63","",""
"FORSYTH - 404","3720","1458","1851","3","91","39.19","49.76","0.08","2.45","",""
"FORSYTH - 405","3158","130","2688","37","8","4.12","85.12","1.17","0.25","",""
"FORSYTH - 501","2320","321","1496","24","12","13.84","64.48","1.03","0.52","",""
"FORSYTH - 502","2077","165","1153","15","1","7.94","55.51","0.72","0.05","",""
"FORSYTH - 503","2318","1032","647","17","30","44.52","27.91","0.73","1.29","",""
"FORSYTH - 504","2020","404","788","37","3","20.0","39.01","1.83","0.15","",""
"FORSYTH - 505","2976","780","1199","30","14","26.21","40.29","1.01","0.47","",""
"FORSYTH - 506","2290","1019","582","34","44","44.5","25.41","1.48","1.92","",""
"FORSYTH - 508","3505","1271","1421","58","45","36.26","40.54","1.65","1.28","",""
"FORSYTH - 509","2694","1429","866","24","47","53.04","32.15","0.89","1.74","",""
"FORSYTH - 601","2493","1549","526","27","50","62.13","21.1","1.08","2.01","",""
"FORSYTH - 602","4950","2591","1533","36","106","52.34","30.97","0.73","2.14","",""
"FORSYTH - 603","2504","1476","587","17","28","58.95","23.44","0.68","1.12","",""
"FORSYTH - 604","2570","931","925","17","50","36.23","35.99","0.66","1.95","",""
"FORSYTH - 605","4566","1908","1598","52","122","41.79","35.0","1.14","2.67","",""
"FORSYTH - 606","2422","990","644","22","29","40.88","26.59","0.91","1.2","",""
"FORSYTH - 607","2666","1727","549","20","66","64.78","20.59","0.75","2.48","",""
"FORSYTH - 701","1726","1324","267","0","58","76.71","15.47","0.0","3.36","",""
"FORSYTH - 702","1600","1277","134","2","88","79.81","8.38","0.12","5.5","",""
"FORSYTH - 703","1302","1082","61","2","34","83.1","4.69","0.15","2.61","",""
"FORSYTH - 704","1922","1523","236","0","33","79.24","12.28","0.0","1.72","",""
"FORSYTH - 705","2876","1733","622","13","140","60.26","21.63","0.45","4.87","",""
"FORSYTH - 706","1683","972","412","12","61","57.75","24.48","0.71","3.62","",""
"FORSYTH - 707","1724","1124","319","7","40","65.2","18.5","0.41","2.32","",""
"FORSYTH - 708","4896","2837","1093","41","303","57.95","22.32","0.84","6.19","",""
"FORSYTH - 709","3863","2338","978","23","201","60.52","25.32","0.6","5.2","",""
"FORSYTH - 801","1458","1103","213","7","36","75.65","14.61","0.48","2.47","",""
"FORSYTH - 802","1409","1308","21","1","10","92.83","1.49","0.07","0.71","",""
"FORSYTH - 803","1581","1510","7","3","14","95.51","0.44","0.19","0.89","",""
"FORSYTH - 804","1170","1067","30","2","13","91.2","2.56","0.17","1.11","",""
"FORSYTH - 805","2234","1982","66","6","42","88.72","2.95","0.27","1.88","",""
"FORSYTH - 806","2082","1644","189","9","70","78.96","9.08","0.43","3.36","",""
"FORSYTH - 807","2013","1529","133","4","208","75.96","6.61","0.2","10.33","",""
"FORSYTH - 808","4690","2407","1355","36","283","51.32","28.89","0.77","6.03","",""
"FORSYTH - 809","2533","2181","100","9","97","86.1","3.95","0.36","3.83","",""
"FORSYTH - 901","1752","1556","73","6","19","88.81","4.17","0.34","1.08","",""
"FORSYTH - 902","2624","1732","543","8","107","66.01","20.69","0.3","4.08","",""
"FORSYTH - 903","4344","3258","573","8","188","75.0","13.19","0.18","4.33","",""
"FORSYTH - 904","3407","1004","1461","48","36","29.47","42.88","1.41","1.06","",""
"FORSYTH - 905","4495","2935","878","4","277","65.29","19.53","0.09","6.16","",""
"FORSYTH - 906","3393","2403","555","10","120","70.82","16.36","0.29","3.54","",""
"FORSYTH - 907","2061","1483","304","7","51","71.96","14.75","0.34","2.47","",""
"FORSYTH - 908","2585","2095","210","4","103","81.04","8.12","0.15","3.98","",""
"FORSYTH - 909","1514","941","319","14","29","62.15","21.07","0.92","1.92","",""
"FRANKLIN - 01","2287","1144","937","13","41","50.02","40.97","0.57","1.79","",""
"FRANKLIN - 02","2022","961","752","24","15","47.53","37.19","1.19","0.74","",""
"FRANKLIN - 03","4343","2693","1176","24","28","62.01","27.08","0.55","0.64","",""
"FRANKLIN - 05","3053","2103","551","29","11","68.88","18.05","0.95","0.36","",""
"FRANKLIN - 06","2451","1196","946","24","10","48.8","38.6","0.98","0.41","",""
"FRANKLIN - 07","2122","1684","198","15","9","79.36","9.33","0.71","0.42","",""
"FRANKLIN - 08","3991","2986","625","29","17","74.82","15.66","0.73","0.43","",""
"FRANKLIN - 09","1776","1234","368","37","3","69.48","20.72","2.08","0.17","",""
"FRANKLIN - 10","1167","814","238","3","6","69.75","20.39","0.26","0.51","",""
"FRANKLIN - 11","1935","991","749","12","0","51.21","38.71","0.62","0.0","",""
"FRANKLIN - 12","1629","1064","473","7","1","65.32","29.04","0.43","0.06","",""
"FRANKLIN - 13","2311","1653","304","28","10","71.53","13.15","1.21","0.43","",""
"FRANKLIN - 14","4544","3534","570","12","31","77.77","12.54","0.26","0.68","",""
"FRANKLIN - 15","3379","1427","1491","19","34","42.23","44.13","0.56","1.01","",""
"FRANKLIN - 16","2215","1141","900","17","4","51.51","40.63","0.77","0.18","",""
"FRANKLIN - 17","4022","3125","452","29","7","77.7","11.24","0.72","0.17","",""
"FRANKLIN - 18","3295","2514","449","21","23","76.3","13.63","0.64","0.7","",""
"FRANKLIN - 19","6602","4583","1237","20","125","69.42","18.74","0.3","1.89","",""
"GASTON - 10A","3978","3282","409","15","17","82.5","10.28","0.38","0.43","",""
"GASTON - 11A","3759","3179","205","4","23","84.57","5.45","0.11","0.61","",""
"GASTON - 12A","2852","2509","92","16","14","87.97","3.23","0.56","0.49","",""
"GASTON - 13A","3207","2882","112","17","14","89.87","3.49","0.53","0.44","",""
"GASTON - 14A","5975","4180","1153","13","57","69.96","19.3","0.22","0.95","",""
"GASTON - 15A","5884","2456","2596","35","14","41.74","44.12","0.59","0.24","",""
"GASTON - 16A","4310","1555","2212","26","33","36.08","51.32","0.6","0.77","",""
"GASTON - 17A","4295","2956","721","26","39","68.82","16.79","0.61","0.91","",""
"GASTON - 18A","4732","3483","612","25","44","73.61","12.93","0.53","0.93","",""
"GASTON - 19A","4172","3774","130","30","24","90.46","3.12","0.72","0.58","",""
"GASTON - 1A","4041","2371","1108","34","46","58.67","27.42","0.84","1.14","",""
"GASTON - 20A","5029","3994","626","26","41","79.42","12.45","0.52","0.82","",""
"GASTON - 21A","2934","2525","170","12","42","86.06","5.79","0.41","1.43","",""
"GASTON - 22A","4427","2894","993","10","120","65.37","22.43","0.23","2.71","",""
"GASTON - 23A","5997","4828","621","25","84","80.51","10.36","0.42","1.4","",""
"GASTON - 24A","5464","4455","527","24","55","81.53","9.64","0.44","1.01","",""
"GASTON - 25A","3618","2356","756","28","89","65.12","20.9","0.77","2.46","",""
"GASTON - 26A","2841","2159","331","12","57","75.99","11.65","0.42","2.01","",""
"GASTON - 27A","2770","2066","347","16","31","74.58","12.53","0.58","1.12","",""
"GASTON - 28A","5906","3392","1687","28","64","57.43","28.56","0.47","1.08","",""
"GASTON - 29A","5989","3225","1657","34","184","53.85","27.67","0.57","3.07","",""
"GASTON - 2A","5974","2832","2249","30","41","47.41","37.65","0.5","0.69","",""
"GASTON - 30A","7056","4799","1332","30","214","68.01","18.88","0.43","3.03","",""
"GASTON - 31A","4614","3541","570","6","173","76.74","12.35","0.13","3.75","",""
"GASTON - 32A","3565","3028","250","17","34","84.94","7.01","0.48","0.95","",""
"GASTON - 33A","4773","4082","310","22","122","85.52","6.49","0.46","2.56","",""
"GASTON - 34A","4135","3446","322","14","118","83.34","7.79","0.34","2.85","",""
"GASTON - 35A","3017","2381","204","3","49","78.92","6.76","0.1","1.62","",""
"GASTON - 36A","2991","2417","265","17","94","80.81","8.86","0.57","3.14","",""
"GASTON - 37A","4248","3106","480","30","133","73.12","11.3","0.71","3.13","",""
"GASTON - 38A","3912","2951","465","30","157","75.43","11.89","0.77","4.01","",""
"GASTON - 39A","3825","3233","279","16","66","84.52","7.29","0.42","1.73","",""
"GASTON - 3A","4758","3157","1010","13","126","66.35","21.23","0.27","2.65","",""
"GASTON - 40A","4687","4005","274","23","160","85.45","5.85","0.49","3.41","",""
"GASTON - 4A","5864","4232","794","52","26","72.17","13.54","0.89","0.44","",""
"GASTON - 5A","6999","4101","1697","42","64","58.59","24.25","0.6","0.91","",""
"GASTON - 6A","4942","3744","749","31","28","75.76","15.16","0.63","0.57","",""
"GASTON - 7A","2879","1981","632","21","17","68.81","21.95","0.73","0.59","",""
"GASTON - 8A","4634","3750","521","20","22","80.92","11.24","0.43","0.47","",""
"GASTON - 9A","2793","2418","192","9","12","86.57","6.87","0.32","0.43","",""
"GATES - 1","1562","857","636","12","0","54.87","40.72","0.77","0.0","",""
"GATES - 2","1037","833","153","7","6","80.33","14.75","0.68","0.58","",""
"GATES - 3","1987","1153","717","27","2","58.03","36.08","1.36","0.1","",""
"GATES - 4N","1700","1237","336","12","8","72.76","19.76","0.71","0.47","",""
"GATES - 4S","937","501","393","2","1","53.47","41.94","0.21","0.11","",""
"GATES - 5","1120","820","269","0","6","73.21","24.02","0.0","0.54","",""
"GRAHAM - EAST","2597","2345","22","75","17","90.3","0.85","2.89","0.65","",""
"GRAHAM - STEC","1170","1093","2","22","1","93.42","0.17","1.88","0.09","",""
"GRAHAM - TAPO","426","410","2","7","0","96.24","0.47","1.64","0.0","",""
"GRAHAM - WEST","2177","1819","10","262","2","83.56","0.46","12.03","0.09","",""
"GRANVILLE - ANTI","1059","411","596","8","2","38.81","56.28","0.76","0.19","",""
"GRANVILLE - BERE","1737","1120","483","2","6","64.48","27.81","0.12","0.35","",""
"GRANVILLE - BTNR","7519","3296","3117","91","19","43.84","41.45","1.21","0.25","",""
"GRANVILLE - CORI","2548","1448","703","20","14","56.83","27.59","0.78","0.55","",""
"GRANVILLE - CRDL","2286","973","1170","5","10","42.56","51.18","0.22","0.44","",""
"GRANVILLE - CRDM","5494","3072","1624","28","88","55.92","29.56","0.51","1.6","",""
"GRANVILLE - EAOX","2297","969","1182","7","16","42.19","51.46","0.3","0.7","",""
"GRANVILLE - MTEN","5224","3549","1054","37","49","67.94","20.18","0.71","0.94","",""
"GRANVILLE - OKHL","1380","855","443","8","1","61.96","32.1","0.58","0.07","",""
"GRANVILLE - SALM","1868","1187","544","4","18","63.54","29.12","0.21","0.96","",""
"GRANVILLE - SASS","2075","1404","565","3","5","67.66","27.23","0.14","0.24","",""
"GRANVILLE - SOOX","1907","578","1143","3","16","30.31","59.94","0.16","0.84","",""
"GRANVILLE - TYHO","4852","3612","792","32","9","74.44","16.32","0.66","0.19","",""
"GRANVILLE - WILT","6331","5121","626","27","46","80.89","9.89","0.43","0.73","",""
"GRANVILLE - WOEL","1618","703","795","1","0","43.45","49.13","0.06","0.0","",""
"GREENE - ARBA","1097","473","500","6","0","43.12","45.58","0.55","0.0","",""
