line_year,year,chamber,contest,file,district,baseline_usable,baseline_statewide_vote_ratio,candidate_statewide_complete,production_margin_pct,staged_margin_pct,staged_minus_production_pp,production_winner,staged_winner,winner_flip,production_total_votes,staged_total_votes,staged_minus_production_votes,linked_urban_votes,linked_urban_share_of_staged_pct,direct_vtd_linked_votes,historical_plan_cell_linked_votes,historical_plan_cell_share_pct,top_linked_urban_counties,linkage_method_mix,disposition,reason,rank_score
2022,2004,state_house,governor,state_house_governor_2004.json,95,True,1.000003,True,10.18,10.18,0.0,REP,REP,False,33508,33508,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,96,True,1.000003,True,7.33,7.33,0.0,REP,REP,False,31663,31663,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,119,True,1.000003,True,-9.03,-9.03,0.0,DEM,DEM,False,34631,34631,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,governor,state_house_governor_2004.json,120,True,1.000003,True,6.61,6.61,0.0,REP,REP,False,34369,34369,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,president,state_house_president_2004.json,1,True,1.000002,True,17.15,17.15,0.0,REP,REP,False,32845,32845,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,president,state_house_president_2004.json,2,True,1.000002,True,4.88,4.88,0.0,REP,REP,False,35136,35136,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,president,state_house_president_2004.json,3,True,1.000002,True,26.17,26.17,0.0,REP,REP,False,33367,33367,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,president,state_house_president_2004.json,4,True,1.000002,True,22.24,22.24,0.0,REP,REP,False,28044,28044,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,president,state_house_president_2004.json,5,True,1.000002,True,-5.5,-5.5,0.0,DEM,DEM,False,29663,29663,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,president,state_house_president_2004.json,7,True,1.000002,True,9.07,9.07,0.0,REP,REP,False,26202,26202,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,president,state_house_president_2004.json,8,True,1.000002,True,-2.28,-2.28,0.0,DEM,DEM,False,27661,27661,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
2022,2004,state_house,president,state_house_president_2004.json,9,True,1.000002,True,16.54,16.54,0.0,REP,REP,False,25978,25978,0,0,0.0,0,0,0.0,,,no_outlier_detected,No material comparison outlier under the audit thresholds.,0.0
