year,county,raw_precinct,group_id,strategy
2002,WAKE,07-07A 07-07A,WAKE|PLANHSC|H50|S15|C4,historical_plan_cell_hsc
2002,WAKE,07-11 07-11,WAKE|PLANHSC|H50|S15|C13,historical_plan_cell_hsc
2002,WAKE,07-12 07-12,WAKE|PLANHSC|H34|S16|C13,historical_plan_cell_hsc
2002,WAKE,07-13 07-13,WAKE|PLANHSC|H50|S15|C13,historical_plan_cell_hsc
2002,WAKE,08-07 08-07,WAKE|PLANHSC|H50|S15|C4,historical_plan_cell_hsc
2002,WAKE,08-08 08-08,WAKE|PLANHSC|H50|S15|C4,historical_plan_cell_hsc
2002,WAKE,08-09 08-09,WAKE|PLANHSC|H50|S15|C4,historical_plan_cell_hsc
2002,WAKE,09-03 09-03,WAKE|PLANHSC|H40|S14|C13,historical_plan_cell_hsc
2002,WAKE,10-03 10-03,WAKE|PLANHSC|H39|S14|C13,historical_plan_cell_hsc
2002,WAKE,10-04 10-04,WAKE|PLANHSC|H39|S14|C13,historical_plan_cell_hsc
2002,WAKE,12-05 12-05,WAKE|PLANHSC|H37|S17|C4,historical_plan_cell_hsc
2002,WAKE,12-06 12-06,WAKE|PLANHSC|H39|S17|C4,historical_plan_cell_hsc
2002,WAKE,12-07 12-07,WAKE|PLANHSC|H39|S17|C4,historical_plan_cell_hsc
2002,WAKE,13-04 13-04,WAKE|PLANHC|H40|C13,historical_plan_cell_hc
2002,WAKE,13-05 13-05,WAKE|PLANHC|H40|C13,historical_plan_cell_hc
2002,WAKE,13-06 13-06,WAKE|PLANHC|H40|C13,historical_plan_cell_hc
2002,WAKE,13-07 13-07,WAKE|PLANHSC|H33|S14|C13,historical_plan_cell_hsc
2002,WAKE,15-03 15-03,WAKE|PLANHSC|H39|S17|C4,historical_plan_cell_hsc
2002,WAKE,15-04 15-04,WAKE|PLANHSC|H39|S17|C4,historical_plan_cell_hsc
2002,WAKE,16-08 16-08,WAKE|PLANSC|S14|C2,historical_plan_cell_sc
2002,WAKE,16-09 16-09,WAKE|PLANHSC|H39|S17|C2,historical_plan_cell_hsc
2002,WAKE,17-08 17-08,WAKE|PLANHSC|H39|S14|C13,historical_plan_cell_hsc
2002,WAKE,17-09 17-09,WAKE|PLANHSC|H33|S14|C13,historical_plan_cell_hsc
2002,WAKE,17-10 17-10,WAKE|PLANHSC|H33|S14|C13,historical_plan_cell_hsc
2002,WAKE,17-11 17-11,WAKE|PLANHSC|H33|S14|C13,historical_plan_cell_hsc
2002,WAKE,18-07 18-07,WAKE|PLANHSC|H37|S17|C4,historical_plan_cell_hsc
2002,WAKE,18-08 18-08,WAKE|PLANHSC|H35|S17|C4,historical_plan_cell_hsc
2002,WAKE,19-06 19-06,WAKE|PLANHSC|H40|S15|C13,historical_plan_cell_hsc
2002,WAKE,19-07 19-07,WAKE|PLANHSC|H40|S15|C13,historical_plan_cell_hsc
2002,WAKE,19-08 19-08,WAKE|PLANHSC|H40|S15|C13,historical_plan_cell_hsc
2002,WAKE,20-07 20-07,WAKE|PLANHSC|H37|S17|C4,historical_plan_cell_hsc
2002,WAKE,20-08 20-08,WAKE|PLANHSC|H37|S17|C4,historical_plan_cell_hsc
2002,WAKE,20-09 20-09,WAKE|PLANHSC|H36|S17|C4,historical_plan_cell_hsc
2002,WAKE,20-10 20-10,WAKE|PLANHSC|H36|S16|C4,historical_plan_cell_hsc
2004,BUNCOMBE,01.1 ASHEVILLE 1,BUNCOMBE|PLANHS|H115|S49,historical_plan_cell_hs
2004,BUNCOMBE,02.1 ASHEVILLE 2,BUNCOMBE|PLANHS|H114|S49,historical_plan_cell_hs
2004,BUNCOMBE,03.1 ASHEVILLE 3,BUNCOMBE|PLANHS|H114|S49,historical_plan_cell_hs
2004,BUNCOMBE,04.1 ASHEVILLE 4,BUNCOMBE|PLANHS|H114|S49,historical_plan_cell_hs
2004,BUNCOMBE,05.1 ASHEVILLE 5,BUNCOMBE|PLANHS|H116|S49,historical_plan_cell_hs
2004,BUNCOMBE,06.1 ASHEVILLE 6,BUNCOMBE|PLANHS|H115|S49,historical_plan_cell_hs
2004,BUNCOMBE,07.1 ASHEVILLE 7,BUNCOMBE|PLANHS|H115|S49,historical_plan_cell_hs
2004,BUNCOMBE,08.1 ASHEVILLE 8,BUNCOMBE|PLANHS|H115|S49,historical_plan_cell_hs
2004,BUNCOMBE,09.1 ASHEVILLE 9,BUNCOMBE|PLANHS|H115|S49,historical_plan_cell_hs
2004,BUNCOMBE,10.1 ASHEVILLE 10,BUNCOMBE|PLANHS|H115|S49,historical_plan_cell_hs
2004,BUNCOMBE,11.1 ASHEVILLE 11,BUNCOMBE|PLANHS|H114|S49,historical_plan_cell_hs
2004,BUNCOMBE,12.1 ASHEVILLE 12,BUNCOMBE|PLANHS|H114|S49,historical_plan_cell_hs
2004,BUNCOMBE,13.1 ASHEVILLE 13,BUNCOMBE|PLANHS|H114|S49,historical_plan_cell_hs
2004,BUNCOMBE,15.1 ASHEVILLE 15,BUNCOMBE|PLANHS|H114|S49,historical_plan_cell_hs
2004,BUNCOMBE,16.1 ASHEVILLE 16,BUNCOMBE|PLANHS|H114|S49,historical_plan_cell_hs
2004,BUNCOMBE,17.1 ASHEVILLE 17,BUNCOMBE|PLANHS|H115|S49,historical_plan_cell_hs
2004,BUNCOMBE,18.1 ASHEVILLE 18,BUNCOMBE|PLANHS|H116|S48,historical_plan_cell_hs
2004,BUNCOMBE,19.1 ASHEVILLE 19,BUNCOMBE|PLANHS|H116|S48,historical_plan_cell_hs
2004,BUNCOMBE,20.1 ASHEVILLE 20,BUNCOMBE|PLANHS|H115|S49,historical_plan_cell_hs
2004,BUNCOMBE,21.1 ASHEVILLE 21,BUNCOMBE|PLANHS|H115|S49,historical_plan_cell_hs
2004,BUNCOMBE,22.1 ASHEVILLE 22,BUNCOMBE|PLANHS|H114|S49,historical_plan_cell_hs
2004,BUNCOMBE,23.1 ASHEVILLE 23,BUNCOMBE|PLANHS|H115|S49,historical_plan_cell_hs
2004,BUNCOMBE,24.1 ASHEVILLE 24,BUNCOMBE|PLANHS|H116|S48,historical_plan_cell_hs
